district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,35004,2137.0,6.1,5555.0,15.9,5290.0,15.1,10662.0,30.5,4632.0,13.2,6728.0,19.2
2,32850,1898.0,5.8,4718.0,14.4,5497.0,16.7,10518.0,32.0,4183.0,12.7,6036.0,18.4
3,33059,1829.0,5.5,5726.0,17.3,6515.0,19.7,9081.0,27.5,3219.0,9.7,6689.0,20.2
4,29704,1561.0,5.3,4854.0,16.3,4400.0,14.8,8409.0,28.3,3636.0,12.2,6844.0,23.0
5,30415,1611.0,5.3,6206.0,20.4,5758.0,18.9,8070.0,26.5,3303.0,10.9,5467.0,18.0
6,31746,1902.0,6.0,8687.0,27.4,9732.0,30.7,8153.0,25.7,1698.0,5.3,1574.0,5.0
7,30954,1963.0,6.3,8801.0,28.4,6852.0,22.1,7170.0,23.2,2370.0,7.7,3798.0,12.3
8,28990,1677.0,5.8,6674.0,23.0,8054.0,27.8,8601.0,29.7,1968.0,6.8,2016.0,7.0
9,34284,1805.0,5.3,6994.0,20.4,7093.0,20.7,8523.0,24.9,3172.0,9.3,6697.0,19.5
