district,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_65,germans_between_18_and_65_percentage,germans_above_65,germans_above_65_percentage
1,44161,3554,8,2.5,40607,2874,7.1,4886,12,27032,66.6,5815,14.3
2,45121,4482,9.9,2.6,40639,2164,5.3,3640,9,24320,59.8,10515,25.9
3,45770,3796,8.3,3.8,41974,3223,7.7,4497,10.7,28533,68,5721,13.6
4,42218,2783,6.6,1.8,39435,1887,4.8,3404,8.6,23910,60.6,10234,26
5,39499,947,2.4,1.2,38552,1877,4.9,3851,10,24651,63.9,8173,21.2
6,42604,2848,6.7,2.7,39756,2701,6.8,3981,10,26380,66.4,6694,16.8
