district,total,female_total,female_percentage,eu_foreigners_total,eu_foreigners_percentage,between_16_and_18_total,between_16_and_18_percentage
1,36478,18968,52,740,2,743,2
2,34598,17991,52,969,2.8,783,2.3
3,34863,18790,53.9,1222,3.5,594,1.7
4,30970,16323,52.7,778,2.5,494,1.6
5,32245,16947,52.6,1383,4.3,456,1.4
