year,party_spd,party_cdu,party_die_linke,party_grüne,party_fdp,party_piraten
1990,30.4,40.4,9.2,9.4,7.1,
1995,23.6,37.4,14.6,13.2,2.5,
1999,22.4,40.8,17.7,9.9,2.2,
2001,29.7,23.8,22.6,9.1,9.9,
2006,30.8,21.3,13.4,13.1,7.6,
2011,28.3,23.3,11.7,17.6,1.8,8.9
