district,total,female_total,female_percentage,eu_foreigners_total,eu_foreigners_percentage,between_16_and_18_total,between_16_and_18_percentage
1,34385,17304.0,50.3,880.0,2.6,667.0,1.9
2,36344,18522.0,51.0,1002.0,2.8,529.0,1.5
3,36248,18717.0,51.6,1381.0,3.8,628.0,1.7
4,35391,18212.0,51.5,724.0,2.0,532.0,1.5
5,33887,17098.0,50.5,415.0,1.2,654.0,1.9
6,34594,17966.0,51.9,950.0,2.7,596.0,1.7
