feature,year_1990,year_1995,year_1999,year_2001,year_2006,year_2011,year_2016,year_2021,year_2023
Gültige Zweitstimmen,100,84.3,82.4,86.1,73.7,81.2,93.9,106,88.2
SPD,100,53,45.8,62.4,68.4,72.9,56.4,64,45
CDU,100,79.9,88.9,43,33.5,46.1,49.2,60.8,85.7
GRÜNE ¹,100,73.9,46.4,44.5,67.6,95.9,103.2,157.1,126.6
DIE LINKE ²,100,129.9,138.2,174.2,87.9,78.1,93.4,87.6,62.3
AfD,x,x,x,x,x,x,x,x,x
FDP,100,16.5,16.5,80.2,63.5,17.6,66.8,114.6,57.9
PIRATEN,x,x,x,x,x,x,x,x,x
Sonstige,100,314.1,287.3,203.5,485.1,330,351.7,587.7,376.1
