feature,1990,1995,1999,2001,2006,2011,2016,2021,2023
Gültige Zweitstimmen,1294662,1058539,966408,999235,843384,872904,954623,1053553,878151
SPD,381690,270028,243226,336782,264988,243938,221408,241579,174414
CDU,634592,480611,476569,307998,233415,257864,199040,218587,273235
GRÜNE ¹,105884,158783,116842,111238,124899,177633,162822,213693,174063
DIE LINKE ²,14154,22465,40979,69041,35200,37738,96337,106631,78731
AfD,x,x,x,x,x,x,115645,66135,59908
FDP,102217,35647,27531,128181,78642,19752,82192,83391,46741
PIRATEN,x,x,x,x,x,70496,15518,3900,2836
Sonstige,56125,91005,61261,45995,106240,65483,61661,119637,68223
