district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,28872,2135.0,7.4,8543.0,29.6,6199.0,21.5,6664.0,23.1,2480.0,8.6,2851.0,9.9
2,29026,2645.0,9.1,10033.0,34.6,5195.0,17.9,6228.0,21.5,2621.0,9.0,2304.0,7.9
3,30106,3622.0,12.0,9305.0,30.9,4530.0,15.0,6363.0,21.1,2805.0,9.3,3481.0,11.6
4,30464,2639.0,8.7,4686.0,15.4,3607.0,11.8,8330.0,27.3,4512.0,14.8,6690.0,22.0
5,27796,2430.0,8.7,3125.0,11.2,3055.0,11.0,7711.0,27.7,4487.0,16.1,6988.0,25.1
6,29826,2430.0,8.1,3789.0,12.7,2997.0,10.0,6903.0,23.1,4715.0,15.8,8992.0,30.1
7,28218,2448.0,8.7,3030.0,10.7,3306.0,11.7,8199.0,29.1,4564.0,16.2,6671.0,23.6
