id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_npd,party_lkr,party_b,party_ödp,party_die_basis,party_die_grauen,party_freie_wähler,party_klimaliste_berlin,party_ld,party_mieterpartei,party_die_humanisten,party_volt,voters_alliance_wsb_f_k,voters_alliance_die_waehlbaren.de,voters_alliance_olf,voters_alliance_bärlä,voters_alliance_wsB_spandau,voters_alliance_tkbb,voters_alliance_wsb,voters_alliance_wiss,voters_alliance_wsb,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01,01,248853,188947,59906,0,126651,54215,125854,797,20351,25185,35929,19885,6970,5862,2361,2776,600,0,0,0,163,818,644,279,1062,0,0,399,2523,0,47,0,0,0,0,0,0,0,50.89390121879182,0.629288359349709,99.37071164065028
02,02,197730,145017,52713,0,114382,47572,113781,601,15427,15074,39448,23266,3995,3765,3831,2770,0,0,0,611,154,829,0,0,1798,0,0,364,2086,220,0,143,0,0,0,0,0,0,57.847569918575836,0.525432323267647,99.47456767673235
03,03,309621,209888,99733,0,198215,90565,197042,1173,29075,40027,46836,35198,18487,7242,4073,5335,0,0,0,0,368,2044,1735,824,1249,0,1529,0,3020,0,0,0,0,0,0,0,0,0,64.01859047028464,0.5917816512372929,99.40821834876272
04,04,241476,165221,76255,0,147801,69649,146912,889,29137,45072,35090,10162,7510,9815,1900,2990,463,0,68,0,179,958,0,390,448,0,0,328,2095,0,0,0,0,0,0,0,0,0,61.20732495154798,0.6014844283868174,99.39851557161317
05,05,176974,134313,42658,3,91615,38484,90742,873,21186,35825,8994,3811,10067,3690,1419,3895,0,0,75,0,182,589,0,0,0,0,0,0,0,0,0,0,0,673,0,0,336,0,51.767491269904056,0.9529007258636686,99.04709927413633
06,06,233319,149163,84156,0,157740,77987,156829,911,29615,56636,33946,7348,8729,10258,1689,3573,631,0,0,0,0,1075,0,642,448,0,0,380,1859,0,0,0,0,0,0,0,0,0,67.6070101449089,0.5775326486623558,99.42246735133764
07,07,254717,174254,80463,0,154563,73392,153448,1115,30302,47221,36450,12187,9588,6310,2078,3902,741,0,0,0,235,930,0,561,910,77,0,0,1956,0,0,0,0,0,0,0,0,0,60.68028439405301,0.7213886894017326,99.27861131059827
08,08,223387,164898,58488,1,116500,51567,115595,905,27869,31422,19734,16631,8661,3032,1990,3065,0,0,76,0,140,580,0,325,886,0,0,0,914,0,0,0,0,0,0,270,0,270,52.15164714150779,0.776824034334764,99.22317596566523
09,09,220301,158347,61954,0,134487,55953,133383,1104,29891,31232,16390,20564,18711,4484,2883,4646,0,356,147,0,256,924,0,1046,641,0,0,463,0,0,0,0,0,0,749,0,0,0,61.04693124407061,0.820897187088715,99.1791028129113
10,10,211585,159560,52025,0,112531,47119,111407,1124,19068,35011,6081,17575,21825,3174,1876,4860,0,430,0,0,0,984,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,53.1847720774157,0.9988358763362984,99.0011641236637
11,11,215556,159373,56183,0,120480,51375,119447,1033,18231,28415,14124,27591,16650,3539,2440,5176,763,219,86,0,0,879,0,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.89266826253967,0.8574037184594954,99.1425962815405
12,12,192325,137683,54642,0,109951,49531,108967,984,23415,44185,13744,4653,10810,4681,1308,3195,0,91,0,0,202,679,1245,607,0,0,0,0,0,0,0,0,152,0,0,0,0,0,57.16937475627194,0.8949441114678356,99.10505588853216
