id,district_id,electoral_district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_graue_panther,party_npd,party_gesundheitsforschung,party_lkr,party_dkp,party_sgp,party_büso,party_menschliche_welt,party_b,party_ödp,party_die_basis,party_bildet_berlin,party_dl,party_deutsche_konservative,party_die_grauen,party_neue_demokraten,party_rep,party_du,party_bündnis21,party_die_frauen,party_freie_wähler,party_klimaliste_berlin,party_ld,party_mieterpartei,party_die_humanisten,party_team_todenhöfer,party_volt,voter_turnout,invalid_votes_percentage,valid_votes_percentage
114S,11,4S,0,0,0,0,450,450,445,5,60,44,130,109,25,9,10,21,1,3,0,3,0,1,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,2,10,0,5,0,0,5,inf,1.1111111111111112,98.88888888888889
114T,11,4T,0,0,0,0,529,529,529,0,58,59,208,91,23,30,18,9,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,1,0,0,2,0,0,5,4,0,2,0,2,11,inf,0.0,100.0
11501,11,501,808,567,241,0,260,5,256,4,28,36,61,48,27,14,8,13,3,1,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,3,0,0,2,2,1,32.17821782178218,1.5384615384615385,98.46153846153847
11502,11,502,997,777,220,0,313,0,305,7,45,57,25,67,66,11,5,8,2,4,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,1,0,0,1,0,2,0,2,2,31.39418254764293,2.2364217252396164,97.44408945686901
11503,11,503,1021,789,232,0,337,2,331,4,50,85,19,53,74,8,11,11,2,2,2,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,0,0,2,33.006856023506366,1.1869436201780417,98.21958456973294
11504,11,504,847,601,246,0,328,3,320,8,66,75,18,43,87,6,4,6,0,4,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,1,38.72491145218418,2.4390243902439024,97.5609756097561
11505,11,505,817,616,201,0,202,0,199,3,32,43,12,29,45,6,5,8,1,0,0,4,0,0,0,1,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,1,0,1,3,24.724602203182375,1.4851485148514851,98.51485148514851
11506,11,506,958,667,291,0,213,1,211,2,26,53,16,47,46,6,1,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,22.233820459290186,0.9389671361502347,99.06103286384976
11507,11,507,1068,807,261,0,379,5,376,2,44,63,62,87,51,9,10,22,3,0,2,0,0,1,2,0,0,2,0,2,1,0,0,2,0,0,0,0,0,1,5,0,1,0,2,4,35.48689138576779,0.5277044854881267,99.2084432717678
11508,11,508,988,745,243,0,371,6,367,4,47,43,67,87,64,7,8,19,3,3,2,2,0,1,0,0,0,0,1,2,0,0,0,3,0,0,2,0,0,0,0,0,1,0,1,4,37.550607287449395,1.078167115902965,98.92183288409704
11509,11,509,1263,832,431,0,433,5,429,4,91,107,38,74,60,13,7,15,1,1,1,2,0,3,0,0,0,0,0,4,1,0,0,0,0,0,2,1,0,1,0,0,2,1,1,3,34.28345209817894,0.9237875288683602,99.07621247113164
11510,11,510,1149,786,363,0,415,4,404,11,60,120,32,86,68,5,1,6,1,5,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,6,1,0,1,1,3,1,36.118363794604,2.6506024096385543,97.34939759036145
11511,11,511,944,659,285,0,328,8,327,1,34,36,85,81,37,10,13,12,2,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,2,0,0,3,0,1,3,34.74576271186441,0.3048780487804878,99.6951219512195
11512,11,512,920,667,253,0,288,8,286,2,30,41,55,57,61,4,6,14,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,3,0,2,0,0,3,31.30434782608696,0.6944444444444444,99.30555555555556
11513,11,513,1014,665,349,0,413,5,409,4,65,90,50,90,52,11,8,17,2,1,1,1,0,2,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,4,0,0,1,0,2,4,40.72978303747535,0.9685230024213075,99.0314769975787
11514,11,514,1040,748,292,0,377,6,376,1,58,68,54,86,53,10,10,15,1,2,0,0,1,0,0,1,0,0,1,0,2,0,0,2,0,0,1,0,0,1,0,0,4,1,0,5,36.25,0.2652519893899204,99.73474801061008
11515,11,515,967,690,277,0,374,2,369,4,64,97,21,82,58,7,1,10,0,4,0,2,1,2,2,1,0,1,0,3,2,0,0,5,0,0,2,0,0,1,2,0,0,0,0,1,38.67631851085832,1.06951871657754,98.66310160427807
11516,11,516,964,670,294,0,338,5,336,2,52,75,24,62,68,12,9,11,0,3,3,2,0,0,0,0,0,0,0,2,1,0,0,5,0,0,1,0,0,1,1,0,0,2,1,1,35.06224066390041,0.591715976331361,99.40828402366864
