id,district_id,electoral_district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_with_voting_license,valid_votes,invalid_votes,party_grüne,party_cdu,party_spd,party_die_linke,party_afd,party_die_partei,party_fdp,party_tierschutzpartei,party_mera25,party_volt,party_piraten,party_familie,party_ödp,party_freie_wäher,party_tierschutz_hier,party_big,party_verjüngungsforschung,party_pdh,party_heimat,party_dkp,party_menschliche_welt,party_bündnis_c,party_mlpd,party_sgp,party_abg,party_die_basis,party_bündnis_deutschand,party_bsw,party_dawa,party_klimaliste,party_letzte_generation,party_pdv,party_pdf,party_v_partei3,aufn,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01100,01,100,816,580,236,0,291,4,288,3,75,20,38,18,12,10,24,1,14,34,2,1,3,2,4,3,0,1,0,0,0,1,1,0,0,0,0,17,4,0,2,0,1,0,nan,35.661764705882355,1.0309278350515463,98.96907216494846
01101,01,101,1158,906,252,0,298,5,296,2,41,32,27,24,42,11,12,9,8,20,2,1,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,24,34,1,0,0,0,2,nan,25.734024179620036,0.6711409395973155,99.32885906040269
01102,01,102,1002,548,454,0,274,8,273,1,74,51,34,6,21,6,31,3,3,17,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,13,3,0,2,1,0,0,nan,27.345309381237527,0.36496350364963503,99.63503649635037
01103,01,103,997,589,408,0,357,16,356,1,103,51,40,14,19,15,31,9,2,31,1,0,1,0,0,1,0,2,0,0,1,0,0,0,1,0,1,21,3,1,7,0,1,0,nan,35.8074222668004,0.2801120448179272,99.71988795518207
01104,01,104,1123,688,435,0,407,10,405,2,104,62,51,35,24,16,26,5,8,25,6,0,1,0,2,0,1,1,0,1,1,0,1,0,0,0,0,27,0,1,5,0,2,0,nan,36.24220837043633,0.4914004914004914,99.5085995085995
01105,01,105,938,596,342,0,354,4,354,0,104,40,47,25,19,11,25,4,11,30,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,10,0,14,2,1,1,0,1,0,nan,37.73987206823028,0.0,100.0
01106,01,106,1007,581,426,0,327,9,327,0,91,47,37,19,16,12,35,4,8,37,1,0,1,1,0,0,0,3,0,0,1,0,0,0,0,1,1,9,0,0,0,2,1,0,nan,32.472691161866926,0.0,100.0
01107,01,107,785,486,299,0,245,5,245,0,53,36,27,25,22,8,18,4,4,10,1,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,30,0,1,0,0,0,0,nan,31.210191082802545,0.0,100.0
01108,01,108,1135,618,517,0,385,12,383,2,103,50,45,19,28,11,43,3,6,31,4,0,1,4,0,0,0,2,0,2,0,0,1,0,0,0,1,24,0,1,4,0,0,0,nan,33.92070484581498,0.5194805194805194,99.48051948051948
01109,01,109,1100,682,418,0,443,13,442,1,129,59,45,42,21,10,28,15,8,32,3,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,1,36,2,0,3,0,0,0,nan,40.27272727272727,0.2257336343115124,99.77426636568849
01110,01,110,973,612,361,0,409,10,409,0,123,54,47,25,22,13,26,4,4,50,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,28,1,0,6,0,1,0,nan,42.034943473792396,0.0,100.0
01111,01,111,1098,807,291,0,290,3,289,1,52,51,41,27,41,9,11,9,6,9,4,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,1,17,3,0,0,0,1,0,nan,26.41165755919854,0.3448275862068966,99.6551724137931
01112,01,112,707,441,266,0,283,12,282,1,93,33,39,14,14,14,15,6,5,24,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,5,0,0,0,nan,40.02828854314003,0.35335689045936397,99.64664310954063
01113,01,113,1002,608,394,0,465,13,464,1,172,55,49,44,20,14,22,3,10,50,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,11,0,3,4,0,1,0,nan,46.40718562874252,0.21505376344086022,99.78494623655914
01114,01,114,970,580,390,0,416,15,415,1,144,39,41,26,21,19,24,6,11,46,0,2,1,1,0,1,2,2,0,1,0,0,0,0,0,0,1,20,1,3,2,0,0,1,nan,42.88659793814433,0.2403846153846154,99.75961538461539
01115,01,115,1219,760,459,0,512,20,509,3,195,52,48,39,17,25,18,4,13,44,1,0,4,1,1,2,0,0,0,1,0,2,0,0,0,2,1,27,3,0,5,0,3,1,nan,42.00164068908942,0.5859375,99.4140625
01116,01,116,1289,775,514,0,481,13,478,3,166,39,47,35,16,20,37,4,6,58,4,0,3,1,3,0,0,1,0,1,0,0,1,0,0,1,2,24,0,1,4,0,3,1,nan,37.315748642358415,0.6237006237006237,99.37629937629939
01117,01,117,1202,743,459,0,492,8,490,2,150,47,52,33,25,19,30,9,22,52,3,0,2,3,1,0,0,0,0,1,1,0,0,0,0,1,2,31,0,2,2,1,1,0,nan,40.93178036605657,0.40650406504065045,99.59349593495935
01118,01,118,754,467,287,0,331,8,331,0,118,33,36,20,16,12,19,6,11,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,0,0,3,0,0,0,nan,43.89920424403183,0.0,100.0
01119,01,119,1073,651,422,0,438,13,438,0,145,44,48,37,26,14,28,5,9,41,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,32,1,0,1,0,0,0,nan,40.82013047530289,0.0,100.0
