id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_with_voting_license,valid_votes,invalid_votes,party_grüne,party_cdu,party_spd,party_die_linke,party_afd,party_die_partei,party_fdp,party_tierschutzpartei,party_mera25,party_volt,party_piraten,party_familie,party_ödp,party_freie_wähler,party_tierschutz_hier,party_big,party_verjüngungsforschung,party_pdh,party_heimat,party_dkp,party_menschliche_welt,party_bündnis_c,party_mlpd,party_sgp,party_abg,party_die_basis,party_bündnis_deutschand,party_bsw,party_dawa,party_klimaliste,party_letzte_generation,party_pdv,party_pdf,party_v_partei3,aufn,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01,01,211498,149728,61770,0,128694,57100,128139,555,33511,14863,15298,12831,8601,4786,5947,2127,3698,9134,761,260,434,456,448,269,81,397,62,194,135,80,65,54,28,210,299,9249,1475,271,1353,84,514,164,0.0,60.848802352740925,0.4312555363886428,99.56874446361135
02,02,173099,117087,56012,0,115606,51838,115275,331,36773,7841,11800,14947,4902,6554,3450,2162,3458,8365,684,192,362,293,377,194,61,255,30,140,105,44,62,39,22,177,216,7975,1263,334,1512,54,460,172,0.0,66.78605884493845,0.2863173191702853,99.71368268082972
03,03,290740,190862,99878,0,197748,93537,196993,755,46579,24299,22423,17290,21941,8583,6968,4091,2113,11499,1011,849,804,956,872,105,116,462,125,231,279,140,86,46,90,428,605,20479,185,370,1531,147,1011,279,0.0,68.01540895645594,0.38179905738616826,99.61820094261384
04,04,219636,147102,72534,0,144814,67423,144238,576,33969,30378,23488,6529,10282,3639,10278,2255,1642,7609,559,368,459,635,519,152,60,316,34,66,154,103,46,19,48,219,407,7636,574,217,771,66,567,174,0.0,65.93363565171465,0.39775159860234505,99.60224840139766
05,05,160085,123052,37033,0,87459,33663,86706,753,10244,23026,14142,2785,13331,2099,3867,2352,754,2284,457,586,387,491,739,196,66,199,80,29,163,118,32,25,64,175,338,5720,818,83,275,69,550,162,0.0,54.632851297748076,0.8609748567900387,99.13902514320996
06,06,219696,142451,77245,0,153331,72257,152716,615,32352,39081,24533,5091,11871,3281,11488,2542,1022,7013,662,525,626,830,624,125,86,314,61,49,191,105,24,24,45,296,470,7127,444,202,575,60,780,197,0.0,69.79234942830092,0.4010930601117843,99.59890693988822
07,07,234714,160370,74344,0,151196,69586,150447,749,34774,30749,22985,8548,12740,4116,6863,2809,2260,7295,740,526,594,705,768,196,77,345,61,89,216,141,54,53,65,265,488,8572,1227,263,850,84,729,200,0.0,64.41712041037178,0.49538347575332675,99.50461652424667
08,08,198514,144274,54240,0,111138,49297,110383,755,21364,20628,14762,11038,11134,3859,3270,2136,3643,4322,590,470,318,429,592,297,68,202,58,113,155,97,65,34,67,190,287,6393,1880,200,998,72,515,137,0.0,55.98496831457731,0.6793356007846101,99.32066439921539
09,09,210031,152215,57816,0,131996,53115,131134,862,17158,18985,15085,10997,22656,5128,3907,3429,896,5355,735,987,627,877,864,96,91,389,204,168,240,98,72,39,106,274,700,18331,190,264,774,124,1080,208,0.0,62.84596083435302,0.6530500924270433,99.34694990757296
10,10,200704,154193,46511,0,109644,42732,108790,854,6918,17840,11259,7609,27522,2878,2801,2761,335,2794,513,1137,323,813,880,80,120,276,197,142,214,88,67,40,121,225,565,18628,94,114,284,149,848,155,0.0,54.62970344387755,0.7788843894786764,99.22111561052132
11,11,200302,147395,52907,0,118939,49151,118136,803,14318,15216,12931,11861,20713,4575,2882,3175,992,5329,787,902,481,759,837,92,121,315,138,173,214,87,79,39,98,222,475,18004,127,218,776,86,911,203,0.0,59.379836446965086,0.6751359940809996,99.324864005919
12,12,176646,129628,47018,0,102867,43389,102172,695,14265,28810,15862,3299,13610,2306,5386,2196,818,3274,540,533,405,653,689,149,81,216,88,33,156,108,38,34,54,213,382,5999,818,117,306,61,526,147,0.0,58.233415984511396,0.6756296965985205,99.32437030340148
