id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_graue_panther,party_npd,party_gesundheitsforschung,party_lkr,party_dkp,party_sgp,party_büso,party_menschliche_welt,party_b,party_ödp,party_die_basis,party_bildet_berlin,party_dl,party_deutsche_konservative,party_die_grauen,party_neue_demokraten,party_rep,party_du,party_bündnis21,party_die_frauen,party_freie_wähler,party_klimaliste_berlin,party_ld,party_mieterpartei,party_die_humanisten,party_team_todenhöfer,party_volt,individual_applicant_1,individual_applicant_2,individual_applicant_3,individual_applicant_4,individual_applicant_5,individual_applicant_6,individual_applicant_7,individual_applicant_8,individual_applicant_9,individual_applicant_10,individual_applicant_11,individual_applicant_12,party_spd_percentage,party_cdu_percentage,party_grüne_percentage,party_die_linke_percentage,party_afd_percentage,party_fdp_percentage,party_die_partei_percentage,party_tierschutzpartei_percentage,party_piraten_percentage,party_graue_panther_percentage,party_npd_percentage,party_gesundheitsforschung_percentage,party_lkr_percentage,party_dkp_percentage,party_sgp_percentage,party_büso_percentage,party_menschliche_welt_percentage,party_b_percentage,party_ödp_percentage,party_die_basis_percentage,party_bildet_berlin_percentage,party_dl_percentage,party_deutsche_konservative_percentage,party_die_grauen_percentage,party_neue_demokraten_percentage,party_rep_percentage,party_du_percentage,party_bündnis21_percentage,party_die_frauen_percentage,party_freie_wähler_percentage,party_klimaliste_berlin_percentage,party_ld_percentage,party_mieterpartei_percentage,party_die_humanisten_percentage,party_team_todenhöfer_percentage,party_volt_percentage,individual_applicant_1_percentage,individual_applicant_2_percentage,individual_applicant_3_percentage,individual_applicant_4_percentage,individual_applicant_5_percentage,individual_applicant_6_percentage,individual_applicant_7_percentage,individual_applicant_8_percentage,individual_applicant_9_percentage,individual_applicant_10_percentage,individual_applicant_11_percentage,individual_applicant_12_percentage
282,01,203886,146306,57580,0,120218,52261,119170,923,58.963342259890325,0.7677718810826998,99.1282503452062,21555,24876,35837,18613,6668,5438,2183,2542,218,0,0,0,0,0,0,0,0,0,76,934,0,0,0,0,0,15,0,0,111,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,63,0,18.08760594109256,20.874381136191992,30.072165813543677,15.61886380800537,5.595367961735336,4.563229000587396,1.8318368716958966,2.133087186372409,0.18293194595955356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06377443987580766,0.7837543005790047,0.0,0.0,0.0,0.0,0.0,0.012587060501804146,0.0,0.0,0.09314424771335067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03440463203826467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05286565410757741,0.0
634,02,167015,116524,50491,0,107749,45790,106942,715,64.51456456006946,0.663579244354936,99.2510371325952,16672,14730,37718,22842,3878,3323,3672,2617,95,0,0,0,0,0,0,0,0,0,87,849,0,0,0,0,0,0,143,0,0,0,0,0,197,0,0,0,38,0,0,0,53,0,0,28,0,0,0,0,15.589758934749678,13.773821323708177,35.26958538273083,21.35924145798657,3.626264704232201,3.10729180303342,3.4336369246881486,2.4471208692562323,0.08883319930429578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08135250883656561,0.7938882758878645,0.0,0.0,0.0,0.0,0.0,0.0,0.13371734211067682,0.0,0.0,0.0,0.0,0.0,0.1842120027678555,0.0,0.0,0.0,0.03553327972171831,0.0,0.0,0.0,0.04955957434871239,0.0,0.0,0.026182416637055603,0.0,0.0,0.0,0.0
993,03,280603,184120,96483,0,189607,87844,188039,1398,67.57126616607805,0.737314550623131,99.17302631231969,32636,42737,45524,30089,17669,6221,4229,5336,106,0,0,0,0,0,0,0,0,0,44,1758,0,22,0,0,0,0,103,0,0,1097,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.35597402666468,22.727732013039848,24.209871356473922,16.001467780619976,9.39645499072001,3.308356245246997,2.2490015369152143,2.8377091986236898,0.05637128468030568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023399401188051415,0.9349124383771452,0.0,0.011699700594025707,0.0,0.0,0.0,0.0,0.05477587096293854,0.0,0.0,0.5833896159839183,0.0,0.0,0.24888453990927414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1444,04,214149,140029,74120,0,142157,67989,140959,1011,66.38228523131092,0.7111855202346701,99.1572697791878,31372,45960,32309,9214,7150,8328,2129,3002,85,0,0,0,56,0,0,0,0,0,38,920,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,33,0,0,22.256117026936913,32.60522563298548,22.920849324981024,6.536652501791301,5.072396938116757,5.9081009371519375,1.5103682631119688,2.1296972878638467,0.06030122234124816,0.0,0.0,0.0,0.03972786413070467,0.0,0.0,0.0,0.0,0.0,0.026958193517263883,0.6526720535758624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22985407104193417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02766761966245504,0.0,0.0,0.023411062791308113,0.0,0.0
1270,05,157093,115277,41813,3,89377,37865,88325,977,56.894323744533494,1.09312239166676,98.82296340221757,20953,35366,8779,3638,9814,3560,1430,3761,0,0,0,0,34,0,0,0,0,0,82,659,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,60,0,153,0,0,0,0,0,0,0,0,23.72261534106991,40.0407585621285,9.93942824794792,4.118879139541466,11.111236909142372,4.030568921596378,1.6190206623266348,4.258137560147183,0.0,0.0,0.0,0.0,0.038494197565808096,0.0,0.0,0.0,0.0,0.0,0.09283894707047835,0.7461081234078687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040758562128502686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06793093688083782,0.0,0.17322388904613642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2112,06,214308,132153,82155,0,152466,76340,151127,1166,71.14340108628703,0.7647606679521992,99.12177141133105,31765,57188,30648,6760,8416,9357,1521,3523,391,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.01874582304949,37.841021127925515,20.279632362185446,4.47305908275821,5.568826219007854,6.191481336888842,1.0064382936205973,2.331151945052836,0.25872279605894377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6994117530289095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33150926042335255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2324,07,228306,149906,78400,0,149122,71800,147605,1353,65.31672404579818,0.9073107925054653,98.9827121417363,33568,47568,33469,10729,9140,5568,2272,3422,225,0,0,0,0,0,0,0,0,0,120,953,0,0,0,0,0,0,0,0,0,408,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.74177704007317,32.22655059110463,22.674706141390875,7.268723959215475,6.192202161173402,3.7722299380102298,1.5392432505673928,2.3183496494021205,0.15243386064157718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08129805900884117,0.6456420852952136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764134006300599,0.0,0.0,0.11042986348700926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2768,08,193111,136366,56744,1,111691,50986,110496,1120,57.83772027486782,1.0027665613164891,98.93008389216679,25334,32612,19681,15900,8309,2660,2065,2586,0,0,0,0,61,0,0,0,0,0,24,653,0,0,0,0,0,0,368,0,0,122,0,0,0,0,0,0,0,0,0,0,0,55,0,0,45,0,0,21,22.927526788300028,29.51419055893426,17.811504488850275,14.38966116420504,7.519729220967275,2.4073269620619753,1.868845931074428,2.340356211989574,0.0,0.0,0.0,0.0,0.055205618302924996,0.0,0.0,0.0,0.0,0.0,0.021720243266724587,0.5909716188821315,0.0,0.0,0.0,0.0,0.0,0.0,0.333043730089777,0.0,0.0,0.11041123660584999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04977555748624385,0.0,0.0,0.0407254561251086,0.0,0.0,0.019005212858384014
3168,09,205670,144797,60873,0,131557,55127,130182,1238,63.96508970681188,0.9410369649657562,98.9548256649209,27936,34527,14714,21932,18099,4144,1924,4095,0,0,252,0,166,0,0,0,0,0,146,1013,0,0,0,0,0,0,0,0,0,1204,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.459187906162143,26.522099829469514,11.30263784547787,16.847183174325174,13.902843711112137,3.183235777603662,1.4779308967445577,3.145596165368484,0.0,0.0,0.19357514863806055,0.0,0.1275137883885637,0.0,0.0,0.0,0.0,0.0,0.11215068135379698,0.7781413713109339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924859043492956,0.0,0.023044660552150067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,10,196840,145585,51255,0,110783,46567,109492,1184,56.28073562284088,1.068756036576009,98.83465874728073,16932,38129,5824,17243,20865,2781,1837,4573,0,0,263,0,0,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.464143499068426,34.82354875242027,5.319110071968728,15.748182515617579,19.056186753370106,2.5399115917144632,1.6777481459832684,4.176560844627918,0.0,0.0,0.24020019727468675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9544076279545538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
