id,district_id,eligible_voters,voters,question_1_invalid_votes,question_1_valid_votes,question_1_vote_yes,question_1_vote_no,question_2_invalid_votes,question_2_valid_votes,question_2_vote_yes,question_2_vote_no,voter_turnout,question_1_invalid_votes_percentage,question_1_valid_votes_percentage,question_1_vote_yes_percentage,question_1_vote_no_percentage,question_2_invalid_votes_percentage,question_2_valid_votes_percentage,question_2_vote_yes_percentage,question_2_vote_no_percentage
230,01,203653,92068,4552,87516,59996,27520,6592,85476,36729,48747,45.2082709314373,4.944171699178868,95.05582830082113,65.16487813355346,29.890950167267672,7.159925272624582,92.84007472737542,39.89333970543512,52.946735021940306
278,02,172597,93533,2887,90646,72401,18245,5554,87979,24527,63452,54.19155605253857,3.086611142591385,96.9133888574086,77.40690451498402,19.5064843424246,5.938011183218757,94.06198881678124,26.22283044486973,67.83915837191152
681,03,285162,132510,7364,125146,82690,42456,9432,123078,57887,65191,46.46832326887874,5.557316428948758,94.44268357105125,62.402837521696476,32.039846049354765,7.117953362010414,92.88204663798959,43.685004905290164,49.19704173269942
912,04,217811,115094,6752,108342,69934,38408,9718,105376,52315,53061,52.8412247315333,5.866509114289189,94.13349088571081,60.762507168053936,33.37098371765687,8.443533112064921,91.55646688793509,45.45415052044416,46.10231636749092
985,05,164167,64867,4838,60029,38181,21848,6233,58634,31074,27560,39.51281317195295,7.458337829713105,92.5416621702869,58.86043751059861,33.68122465968828,9.608892040636995,90.391107959363,47.90417315430034,42.48693480506267
1134,06,218597,122960,7527,115433,75333,40100,10521,112439,51029,61410,56.24962831145899,6.121502927781393,93.87849707221861,61.26626545217957,32.61223162003904,8.556441119063111,91.44355888093689,41.500487963565384,49.9430709173715
1302,07,233925,124453,5868,118585,86440,32145,9958,114495,41631,72864,53.20209468846853,4.715032984339469,95.28496701566053,69.45593918989498,25.82902782576555,8.001414188488827,91.99858581151116,33.45118237406893,58.54740343744225
1520,08,204633,94790,4448,90342,70390,19952,7442,87348,27878,59470,46.32195198232934,4.692478109505222,95.30752189049477,74.25888806836164,21.048633822133137,7.851039139149699,92.14896086085031,29.41027534550058,62.73868551534972
1350,09,200959,87427,5659,81768,55805,25963,7607,79820,37019,42801,43.50489403311123,6.472828759994052,93.52717124000594,63.830395644366156,29.696775595639792,8.700973383508527,91.29902661649147,42.34275452663365,48.95627208985782
1470,10,202671,66644,4683,61961,38294,23667,5567,61077,34324,26753,32.8828495443354,7.026889142308384,92.97311085769161,57.460536582438024,35.51257427525359,8.35334013564612,91.64665986435388,51.50351119380589,40.14314867054799
1716,11,205284,74963,5236,69727,45065,24662,6392,68571,35008,33563,36.51672804504978,6.984779157717807,93.0152208422822,60.11632405319958,32.89889678908261,8.526873257473687,91.47312674252632,46.70037218361058,44.772754558915736
2388,12,181906,79836,6225,73611,44595,29016,7449,72387,38673,33714,43.88860180532802,7.797234330377273,92.20276566962272,55.858259431835265,36.34450623778746,9.330377273410491,90.66962272658951,48.440553133924546,42.22906959266496
