id,district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
01,01,191609,59178,141,59037,34563,24474,30.88477054835629,0.23826421981141638,99.76173578018859,58.40515056270912,41.35658521747947
02,02,167835,51298,141,51157,20112,31045,30.564542556677686,0.27486451713517096,99.72513548286483,39.20620686966353,60.5189286132013
03,03,279123,79047,147,78900,26908,51992,28.31977300329962,0.18596531177653802,99.81403468822346,34.04050754614343,65.77352714208003
04,04,216236,93481,160,93321,66952,26369,43.23100686287204,0.17115777537681454,99.82884222462319,71.62097110642804,28.207871118195143
05,05,160770,58469,92,58377,44339,14038,36.36810350189712,0.1573483384357523,99.84265166156425,75.83334758590023,24.009304075664026
06,06,214455,109036,188,108848,80505,28343,50.84330045930382,0.17242011812612348,99.82757988187387,73.83341281778495,25.994167064088924
07,07,230190,108438,206,108232,76033,32199,47.10804118337026,0.1899703056124237,99.81002969438758,70.11656430402627,29.69346539036131
08,08,193472,80728,179,80549,59781,20768,41.72593450215018,0.2217322366465167,99.77826776335348,74.05237340204143,25.72589436131206
09,09,196930,65356,129,65227,28923,36304,33.18742700451937,0.1973805006426342,99.80261949935738,44.25454434175899,55.54807515759839
10,10,202645,46762,150,46612,15602,31010,23.075822250734042,0.3207732774475001,99.6792267225525,33.36469783157264,66.31452889097986
11,11,202203,50185,99,50086,15280,34806,24.819117421601064,0.19727010062767758,99.80272989937232,30.44734482415064,69.35538507522168
12,12,182567,79057,139,78918,60882,18036,43.30300656745195,0.17582250781082004,99.82417749218918,77.01025842113918,22.81391907105
