id,district_id,electoral_district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_piraten,party_fdp,party_tierschutzpartei,party_die_partei,party_npd,party_familie,party_volksabstimmung,party_ödp,party_freie_wähler,party_dkp,party_mlpd,party_sgp,party_bp,party_tierschutz_hier,party_tierschutzallianz,party_bündnis_c,party_big,party_die_direkte,party_diem25,party_III_weg,party_die_grauen,party_die_rechte,party_die_violetten,party_liebe,party_die_frauen,party_graue_panther,party_lkr,party_menschliche_welt,party_nl,party_ökolinx,party_partei_für_die_tiere,party_gesundheitsforschung,party_volt,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_spd_percentage,party_cdu_percentage,party_grüne_percentage,party_die_linke_percentage,party_afd_percentage,party_piraten_percentage,party_fdp_percentage,party_tierschutzpartei_percentage,party_die_partei_percentage,party_npd_percentage,party_familie_percentage,party_volksabstimmung_percentage,party_ödp_percentage,party_freie_wähler_percentage,party_dkp_percentage,party_mlpd_percentage,party_sgp_percentage,party_bp_percentage,party_tierschutz_hier_percentage,party_tierschutzallianz_percentage,party_bündnis_c_percentage,party_big_percentage,party_die_direkte_percentage,party_diem25_percentage,party_III_weg_percentage,party_die_grauen_percentage,party_die_rechte_percentage,party_die_violetten_percentage,party_liebe_percentage,party_die_frauen_percentage,party_graue_panther_percentage,party_lkr_percentage,party_menschliche_welt_percentage,party_nl_percentage,party_ökolinx_percentage,party_partei_für_die_tiere_percentage,party_gesundheitsforschung_percentage,party_volt_percentage
01100,01,100,1924,1543,381,0,675,7,8,667,90,81,219,73,40,10,44,11,25,1,5,0,8,1,0,1,0,0,0,2,0,13,4,2,6,0,0,0,0,0,3,1,1,0,3,4,2,0,35.08316008316008,1.1851851851851851,98.81481481481481,13.493253373313344,12.14392803598201,32.8335832083958,10.944527736131935,5.997001499250374,1.4992503748125936,6.5967016491754125,1.6491754122938531,3.7481259370314843,0.14992503748125938,0.7496251874062968,0.0,1.199400299850075,0.14992503748125938,0.0,0.14992503748125938,0.0,0.0,0.0,0.29985007496251875,0.0,1.9490254872563717,0.5997001499250375,0.29985007496251875,0.8995502248875562,0.0,0.0,0.0,0.0,0.0,0.4497751124437781,0.14992503748125938,0.14992503748125938,0.0,0.4497751124437781,0.5997001499250375,0.29985007496251875,0.0
01101,01,101,1582,1116,466,0,729,12,5,724,93,87,277,57,42,8,61,8,30,0,4,0,4,3,0,0,0,0,0,0,0,0,2,0,12,0,1,0,0,1,2,0,1,1,0,2,0,1,46.08091024020228,0.6858710562414266,99.31412894375858,12.845303867403315,12.01657458563536,38.25966850828729,7.872928176795579,5.801104972375691,1.1049723756906076,8.425414364640885,1.1049723756906076,4.143646408839778,0.0,0.5524861878453038,0.0,0.5524861878453038,0.4143646408839779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762430939226519,0.0,1.6574585635359116,0.0,0.13812154696132595,0.0,0.0,0.13812154696132595,0.2762430939226519,0.0,0.13812154696132595,0.13812154696132595,0.0,0.2762430939226519,0.0,0.13812154696132595
01102,01,102,1326,911,415,0,549,7,0,549,76,72,194,56,42,1,46,5,20,0,1,0,2,1,2,0,0,1,3,0,0,0,1,0,7,0,1,0,0,2,0,0,0,0,0,0,2,0,41.40271493212669,0.0,100.0,13.843351548269581,13.114754098360656,35.33697632058288,10.200364298724955,7.650273224043716,0.18214936247723132,8.378870673952642,0.9107468123861567,3.642987249544627,0.0,0.18214936247723132,0.0,0.36429872495446264,0.18214936247723132,0.36429872495446264,0.0,0.0,0.18214936247723132,0.546448087431694,0.0,0.0,0.0,0.18214936247723132,0.0,1.2750455373406193,0.0,0.18214936247723132,0.0,0.0,0.36429872495446264,0.0,0.0,0.0,0.0,0.0,0.0,0.36429872495446264,0.0
01103,01,103,1977,1418,559,0,907,21,3,904,95,97,405,66,36,14,80,8,27,0,2,0,7,1,0,1,0,0,1,0,0,2,0,0,11,0,0,1,0,1,1,2,1,0,0,4,6,1,45.87759231158321,0.33076074972436603,99.66923925027564,10.508849557522124,10.730088495575222,44.80088495575221,7.300884955752212,3.982300884955752,1.5486725663716814,8.849557522123893,0.8849557522123894,2.9867256637168142,0.0,0.22123893805309736,0.0,0.7743362831858407,0.11061946902654868,0.0,0.11061946902654868,0.0,0.0,0.11061946902654868,0.0,0.0,0.22123893805309736,0.0,0.0,1.2168141592920354,0.0,0.0,0.11061946902654868,0.0,0.11061946902654868,0.11061946902654868,0.22123893805309736,0.11061946902654868,0.0,0.0,0.4424778761061947,0.6637168141592921,0.11061946902654868
01104,01,104,1245,888,357,0,604,6,3,601,74,64,257,42,30,2,51,2,30,0,0,0,1,1,0,0,0,0,0,1,2,1,1,0,14,0,1,1,0,0,0,1,0,0,0,0,0,0,48.5140562248996,0.49668874172185434,99.50331125827815,12.312811980033278,10.64891846921797,42.76206322795341,6.988352745424292,4.9916805324459235,0.33277870216306155,8.48585690515807,0.33277870216306155,4.9916805324459235,0.0,0.0,0.0,0.16638935108153077,0.16638935108153077,0.0,0.0,0.0,0.0,0.0,0.16638935108153077,0.33277870216306155,0.16638935108153077,0.16638935108153077,0.0,2.329450915141431,0.0,0.16638935108153077,0.16638935108153077,0.0,0.0,0.0,0.16638935108153077,0.0,0.0,0.0,0.0,0.0,0.0
01105,01,105,1058,780,278,0,503,7,3,500,60,44,191,63,30,2,32,4,22,1,0,0,1,1,0,0,0,0,2,0,0,1,1,1,9,1,1,0,0,0,0,3,0,0,0,4,1,0,47.54253308128544,0.5964214711729622,99.40357852882704,12.0,8.799999999999999,38.2,12.6,6.0,0.4,6.4,0.8,4.3999999999999995,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.2,1.7999999999999998,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.8,0.2,0.0
01106,01,106,1482,971,511,0,653,12,2,651,85,84,249,51,42,4,46,4,20,0,1,0,2,3,1,1,0,0,0,0,1,1,1,0,13,0,1,0,0,2,0,0,2,1,1,0,2,1,44.06207827260459,0.3062787136294028,99.69372128637059,13.056835637480798,12.903225806451612,38.24884792626728,7.834101382488479,6.451612903225806,0.6144393241167435,7.066052227342549,0.6144393241167435,3.0721966205837172,0.0,0.15360983102918588,0.0,0.30721966205837176,0.4608294930875576,0.15360983102918588,0.15360983102918588,0.0,0.0,0.0,0.0,0.15360983102918588,0.15360983102918588,0.15360983102918588,0.0,1.9969278033794162,0.0,0.15360983102918588,0.0,0.0,0.30721966205837176,0.0,0.0,0.30721966205837176,0.15360983102918588,0.15360983102918588,0.0,0.30721966205837176,0.15360983102918588
01107,01,107,1132,814,318,0,545,17,2,543,57,40,211,68,38,0,46,1,24,1,1,0,2,0,0,0,1,1,0,0,0,0,2,0,19,0,1,0,0,1,0,1,1,0,0,2,1,2,48.14487632508834,0.3669724770642202,99.63302752293578,10.497237569060774,7.366482504604052,38.858195211786374,12.52302025782689,6.998158379373849,0.0,8.47145488029466,0.1841620626151013,4.41988950276243,0.1841620626151013,0.1841620626151013,0.0,0.3683241252302026,0.0,0.0,0.0,0.1841620626151013,0.1841620626151013,0.0,0.0,0.0,0.0,0.3683241252302026,0.0,3.4990791896869244,0.0,0.1841620626151013,0.0,0.0,0.1841620626151013,0.0,0.1841620626151013,0.1841620626151013,0.0,0.0,0.3683241252302026,0.1841620626151013,0.3683241252302026
01108,01,108,1046,701,345,0,426,9,1,425,40,73,130,41,28,2,49,7,20,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,1,1,2,2,40.72657743785851,0.2347417840375587,99.76525821596243,9.411764705882353,17.176470588235293,30.58823529411765,9.647058823529411,6.588235294117648,0.4705882352941176,11.529411764705882,1.647058823529412,4.705882352941177,0.0,0.2352941176470588,0.0,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882352,0.0,0.0,0.0,0.4705882352941176,0.0,0.2352941176470588,0.0,0.0,0.0,0.2352941176470588,0.2352941176470588,0.4705882352941176,0.4705882352941176
01109,01,109,1140,966,174,0,436,2,9,427,96,85,79,45,40,6,16,12,14,0,2,0,6,1,0,1,0,0,2,1,2,2,0,0,2,0,2,0,0,0,3,1,0,0,0,0,1,2,38.24561403508772,2.064220183486239,97.93577981651376,22.482435597189696,19.906323185011708,18.501170960187356,10.53864168618267,9.367681498829041,1.405152224824356,3.747072599531616,2.810304449648712,3.278688524590164,0.0,0.468384074941452,0.0,1.405152224824356,0.234192037470726,0.0,0.234192037470726,0.0,0.0,0.468384074941452,0.234192037470726,0.468384074941452,0.468384074941452,0.0,0.0,0.468384074941452,0.0,0.468384074941452,0.0,0.0,0.0,0.702576112412178,0.234192037470726,0.0,0.0,0.0,0.0,0.234192037470726,0.468384074941452
