id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_piraten,party_fdp,party_tierschutzpartei,party_die_partei,party_npd,party_familie,party_volksabstimmung,party_ödp,party_freie_wähler,party_dkp,party_mlpd,party_sgp,party_bp,party_tierschutz_hier,party_tierschutzallianz,party_bündnis_c,party_big,party_die_direkte,party_diem25,party_III_weg,party_die_grauen,party_die_rechte,party_die_violetten,party_liebe,party_die_frauen,party_graue_panther,party_lkr,party_menschliche_welt,party_nl,party_ökolinx,party_partei_für_die_tiere,party_gesundheitsforschung,party_volt,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_spd_percentage,party_cdu_percentage,party_grüne_percentage,party_die_linke_percentage,party_afd_percentage,party_piraten_percentage,party_fdp_percentage,party_tierschutzpartei_percentage,party_die_partei_percentage,party_npd_percentage,party_familie_percentage,party_volksabstimmung_percentage,party_ödp_percentage,party_freie_wähler_percentage,party_dkp_percentage,party_mlpd_percentage,party_sgp_percentage,party_bp_percentage,party_tierschutz_hier_percentage,party_tierschutzallianz_percentage,party_bündnis_c_percentage,party_big_percentage,party_die_direkte_percentage,party_diem25_percentage,party_III_weg_percentage,party_die_grauen_percentage,party_die_rechte_percentage,party_die_violetten_percentage,party_liebe_percentage,party_die_frauen_percentage,party_graue_panther_percentage,party_lkr_percentage,party_menschliche_welt_percentage,party_nl_percentage,party_ökolinx_percentage,party_partei_für_die_tiere_percentage,party_gesundheitsforschung_percentage,party_volt_percentage
01,01,210118,166522,43596,0,127745,40695,950,126795,17045,13413,43276,15949,8173,1257,5835,1954,7771,144,382,109,711,432,209,98,42,57,287,179,110,813,297,83,2532,27,373,33,117,105,222,357,112,137,116,528,393,196,60.796790374932186,0.7436690281420016,99.25633097185799,13.442959107220318,10.578492842777711,34.13068338656887,12.57857171024094,6.445837769628141,0.9913640127765291,4.601916479356442,1.5410702314760045,6.128790567451397,0.11356914704838518,0.3012737095311329,0.08596553491856934,0.5607476635514018,0.34070744114515555,0.16483299814661462,0.07729011396348436,0.03312433455577901,0.044954454039985804,0.22634961946448995,0.14117275917820105,0.0867542095508498,0.641192476044008,0.23423636578729445,0.06545999447927758,1.9969241689341062,0.021294215071572222,0.29417563784060885,0.02602626286525494,0.09227493197681297,0.08281083638944753,0.1750857683662605,0.2815568437241216,0.0883315588154107,0.108048424622422,0.09148625734453252,0.416420205844079,0.3099491304862179,0.1545802279269687
02,02,174282,135597,38683,2,117260,36637,566,116694,12268,6681,47036,18559,4629,1181,3064,1831,10329,89,243,110,581,331,213,98,33,23,205,143,49,625,307,70,3121,12,198,31,120,92,221,212,63,171,74,961,263,119,67.28176174246336,0.4826880436636535,99.51731195633636,10.512965533789227,5.725230088950588,40.30712804428676,15.903988208476871,3.9667849246747906,1.012048605755223,2.6256705571837453,1.56906096286013,8.851354825440897,0.07626784581897955,0.20823692734844979,0.09426362966390732,0.49788335304300135,0.28364783107957564,0.1825286647128387,0.08398032460966288,0.028279088899172192,0.019709668020635167,0.1756731280100091,0.12254271856307951,0.04199016230483144,0.5355888049085643,0.26308122097108677,0.059985946149759196,2.674516256191407,0.010283305054244435,0.16967453339503316,0.02656520472346479,0.10283305054244435,0.07883867208254067,0.18938420141566834,0.18167172262498502,0.05398735153478328,0.1465370970229832,0.06341371450117401,0.8235213464274085,0.22537576910552384,0.10197610845459064
03,03,288978,226395,62576,7,189663,59120,1282,188381,23189,19246,58980,28835,17988,1485,6672,3536,11025,366,1212,256,1329,1092,446,117,67,73,554,358,160,94,470,190,2769,77,801,72,185,243,387,767,165,233,149,595,452,408,65.63233187301456,0.6759357386522411,99.32406426134776,12.30962782870884,10.216529267813632,31.308889962363505,15.30674537241017,9.548733683333245,0.7882960595813803,3.541758457593919,1.8770470482691992,5.852501048407217,0.1942871096341988,0.6433769860017731,0.1358948089244669,0.7054851603930333,0.5796762943184292,0.23675423742309468,0.06210817439126026,0.03556621952320032,0.038751254107367517,0.2940848599381042,0.19004039685530918,0.08493425557779181,0.049898875151952696,0.24949437575976346,0.10085942849862779,1.4698934605931597,0.04087461049681231,0.42520211698632027,0.038220415010006316,0.09820523301182178,0.1289939006587713,0.20543473067878398,0.40715358767603954,0.08758845106459781,0.12368550968515934,0.07909502550681863,0.3158492629299133,0.2399392720072619,0.21658235172336912
04,04,221319,169107,52212,0,146465,49600,963,145502,23662,27320,47525,8816,10248,957,10120,2283,4932,109,476,120,788,599,74,53,25,107,352,198,113,302,213,75,1529,15,405,46,104,89,180,423,155,167,82,226,318,231,66.17823142161315,0.6574949646673266,99.34250503533268,16.262319418289785,18.776374207914667,32.66278126761144,6.059023243666753,7.043202155296835,0.6577229178980358,6.955230855933252,1.5690505972426498,3.3896441286030434,0.07491305961430084,0.3271432695083229,0.08247309315335873,0.5415733117070556,0.41167818999051553,0.05085840744457121,0.03642561614273343,0.01718189440694973,0.07353850806174486,0.24192107324985226,0.1360806037030419,0.07766216271941279,0.20755728443595275,0.14638974034721172,0.051545683220849195,1.0508446619290457,0.01030913664416984,0.27834668939258567,0.031614685708787504,0.07147668073291089,0.06116754408874105,0.12370963973003808,0.29071765336558947,0.10652774532308835,0.11477505463842422,0.05635661365479513,0.15532432543882557,0.2185536968564006,0.15876070432021555
05,05,162066,136010,26055,1,86629,24496,1105,85524,15112,19322,17514,4971,10636,720,4880,2327,2684,152,819,171,557,621,49,79,16,105,411,257,129,330,132,79,472,25,489,48,82,125,129,502,100,105,32,77,160,287,53.45291424481384,1.2755543755555299,98.72444562444447,17.66989383097142,22.592488658154437,20.478462186053036,5.812403535849587,12.436275197605351,0.8418689490669287,5.706000654786961,2.720873672887143,3.1383003601328285,0.1777278892474627,0.9576259295636312,0.19994387540339556,0.6512791730976101,0.7261119685702259,0.05729385903372153,0.09237173191151021,0.018708198868153968,0.12277255507226043,0.48056685842570507,0.3005004443197231,0.15083485337449137,0.3858566016556756,0.15434264066227024,0.09237173191151021,0.5518918666105421,0.029231560731490573,0.5717693279079556,0.0561245966044619,0.0958795191992891,0.14615780365745287,0.15083485337449137,0.5869697394883308,0.11692624292596229,0.12277255507226043,0.037416397736307935,0.09003320705299098,0.1870819886815397,0.3355783171975118
06,06,221217,162922,58295,0,152659,55450,966,151693,23593,34851,45888,7139,11355,1077,11122,2476,4301,132,678,184,906,759,63,50,43,144,456,244,192,200,194,71,1148,23,428,55,135,104,181,479,234,185,84,209,265,274,69.00871090377322,0.6327828690087056,99.36721713099129,15.553123743350056,22.974692306171015,30.25057187872875,4.7062158438424975,7.485513504248713,0.7099866177081342,7.3319137995820505,1.632244071908394,2.835331887430534,0.08701785843776574,0.44695536379397866,0.12129762085264317,0.5972589374592103,0.5003526860171531,0.04153125061802457,0.03296131001430521,0.02834672661230248,0.094928572841199,0.3006071473304635,0.16085119286980942,0.126571430454932,0.13184524005722084,0.1278898828555042,0.046805060220313395,0.7567916779284476,0.015162202606580397,0.2821488137224526,0.03625744101573573,0.08899553703862406,0.06855952482975483,0.11931994225178487,0.3157693499370439,0.15425893086694836,0.12195684705292927,0.055375000824032745,0.13777827585979577,0.17469494307581762,0.18062797887839255
07,07,236121,183099,53022,0,148876,50037,1237,147639,22810,26294,47969,10357,11714,1204,7498,2711,5772,156,712,199,826,742,103,74,44,107,385,316,185,545,261,84,1673,19,592,55,112,140,223,601,187,183,79,346,256,260,63.05072399320687,0.8308928235578602,99.16910717644214,15.449847262579672,17.809657339862774,32.49073754224832,7.015084090247157,7.934217923448411,0.8155026788314741,5.078603891925575,1.8362356829834936,3.9095360981854386,0.10566313778879566,0.48225739811296475,0.1347882334613483,0.5594727680355462,0.5025772323031178,0.06976476405285865,0.05012225766904409,0.029802423478891078,0.0724740752782124,0.2607712054402969,0.214035586802945,0.1253056441726102,0.3691436544544463,0.1767825574543312,0.05689553573242842,1.1331694200041995,0.01286922832043024,0.4009780613523527,0.037253029348613846,0.07586071430990457,0.0948258928873807,0.1510441008134707,0.4070740116093986,0.1266602997852871,0.12395098855993335,0.05350889670073625,0.23435542099309806,0.173395918422639,0.17610522964799274
08,08,202641,164096,38545,0,112930,35988,1258,111672,16213,17742,30628,12026,10090,867,4258,2381,6449,202,625,147,552,461,135,92,25,108,410,219,114,892,212,77,2282,23,480,59,94,98,213,525,95,139,48,714,215,255,55.72909727054248,1.1139644027273532,98.88603559727265,14.518411060964254,15.887599398237695,27.426749767175302,10.769037896697471,9.03538935453829,0.7763808295723189,3.8129522172075365,2.132136972562505,5.774948062182104,0.1808868830145426,0.5596747618024214,0.1316355039759295,0.49430474962389853,0.41281610430546595,0.12088974854932302,0.08238412493731642,0.022386990472096854,0.09671179883945842,0.3671466437423884,0.19611003653556844,0.10208467655276166,0.7987678200444157,0.18984167920338132,0.06895193065405832,2.0434844902930007,0.020596031234329105,0.4298302170642596,0.05283329751414857,0.08417508417508417,0.08775700265061967,0.1907371588222652,0.47012679991403394,0.08507056379396805,0.12447166702485853,0.04298302170642596,0.6393724478830862,0.19252811806003295,0.22834730281538793
09,09,207347,169366,37981,0,123561,35810,1242,122319,16017,14677,24564,22717,17566,999,4741,2874,6431,557,1338,236,768,923,319,105,37,80,514,321,102,65,239,128,1166,63,639,60,137,195,239,604,164,196,106,274,333,351,59.59140956946568,1.0051715347075534,98.99482846529246,13.09444975841856,11.998953555866217,20.08191695484757,18.571930771180277,14.360810667189888,0.816716945037157,3.8759309673885496,2.34959409413092,5.257564237771728,0.45536670509078714,1.0938611335933093,0.19293813716593497,0.6278664802688053,0.7545843245938898,0.2607934989658189,0.08584112034925072,0.030248775742116922,0.0654027583613339,0.42021272247157027,0.26242856792485225,0.0833885169107007,0.05313974116858378,0.195390740604485,0.10464441337813422,0.9532452031164416,0.05150467220955044,0.5224045324111544,0.04905206877100042,0.11200222369378429,0.15941922350575136,0.195390740604485,0.49379082562807086,0.13407565464073448,0.16023675798526804,0.0866586548287674,0.22400444738756858,0.2722389816790523,0.28695460231035247
10,10,199728,171293,28435,0,98622,26743,1301,97321,11919,13095,12759,20451,18515,888,3429,2179,3626,634,1427,257,491,827,369,91,41,79,452,336,90,40,166,129,505,100,823,64,92,178,255,856,172,149,55,109,249,342,49.37815428983418,1.3191782766522684,98.68082172334773,12.247099803742255,13.455472097491805,13.11022287070622,21.013964098190524,19.02467093433072,0.9124443850761912,3.5233916626421844,2.238982336802951,3.725814572394447,0.651452410065659,1.4662816863780685,0.2640745573925463,0.5045159831896507,0.8497652099752365,0.3791576329877416,0.09350499892109618,0.04212862588752685,0.08117466939303952,0.4644424122234667,0.34524922678558584,0.09247747146042477,0.041101098426855456,0.17056955847145017,0.13255104242660884,0.5189013676390501,0.10275274606713865,0.8456551001325511,0.06576175748296872,0.09453252638176755,0.18289988799950677,0.26201950247120354,0.8795635063347068,0.17673472323547848,0.1531015916400366,0.05651401033692626,0.11200049321318112,0.25585433770717525,0.3514143915496142
