district,total,female_total,female_percentage,eu_foreigners_total,eu_foreigners_percentage,between_16_and_18_total,between_16_and_18_percentage
1,36065,18767.0,52.0,1854.0,5.1,440.0,1.2
2,39439,20074.0,50.9,1412.0,3.6,544.0,1.4
3,36008,18258.0,50.7,1090.0,3.0,685.0,1.9
4,35453,18280.0,51.6,823.0,2.3,591.0,1.7
5,30703,15992.0,52.1,446.0,1.5,451.0,1.5
6,34123,18250.0,53.5,486.0,1.4,550.0,1.6
