id,district_id,district_name,constituency_district,constituency_district_type,constituency_district_berlin_elections,constituency_district_federal_election,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_cdu,party_cdu_percentage,party_grüne,party_grüne_percentage,party_die_linke,party_die_linke_percentage,party_piraten,party_piraten_percentage,party_npd,party_npd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
01100,1,Mitte,100,W,1,75,1217,483,16,467,123,26.33832976445396,106,22.698072805139187,107,22.91220556745182,28,5.995717344753747,48,10.278372591006423,8,1.7130620985010707,6,1.284796573875803,41,8.779443254817988
01101,1,Mitte,101,W,1,75,1110,468,5,463,128,27.645788336933048,72,15.550755939524837,112,24.190064794816415,61,13.174946004319654,42,9.071274298056156,7,1.511879049676026,19,4.103671706263499,22,4.751619870410368
01102,1,Mitte,102,W,1,75,1135,418,3,415,123,29.63855421686747,96,23.132530120481928,78,18.795180722891565,43,10.361445783132531,39,9.397590361445783,6,1.4457831325301205,14,3.3734939759036147,16,3.8554216867469884
01103,1,Mitte,103,W,1,75,931,416,7,408,106,25.98039215686275,48,11.76470588235294,114,27.941176470588236,41,10.049019607843137,58,14.215686274509803,1,0.24509803921568626,15,3.6764705882352944,25,6.127450980392156
01104,1,Mitte,104,W,1,75,1151,508,6,502,151,30.0796812749004,92,18.326693227091635,130,25.89641434262948,41,8.167330677290837,41,8.167330677290837,1,0.199203187250996,20,3.9840637450199203,26,5.179282868525896
01105,1,Mitte,105,W,1,75,1143,487,5,482,130,26.970954356846473,60,12.448132780082988,128,26.556016597510375,60,12.448132780082988,60,12.448132780082988,7,1.4522821576763485,12,2.4896265560165975,25,5.186721991701245
01106,1,Mitte,106,W,1,75,1315,548,6,542,154,28.413284132841326,137,25.276752767527675,120,22.14022140221402,48,8.856088560885608,39,7.195571955719557,4,0.7380073800738007,24,4.428044280442804,16,2.952029520295203
01107,1,Mitte,107,W,1,75,1211,577,4,573,148,25.82897033158813,73,12.739965095986038,173,30.19197207678883,68,11.8673647469459,74,12.914485165794066,4,0.6980802792321117,16,2.7923211169284468,17,2.966841186736475
01108,1,Mitte,108,W,1,75,959,385,3,382,84,21.98952879581152,113,29.581151832460733,86,22.5130890052356,47,12.30366492146597,26,6.806282722513089,4,1.0471204188481675,9,2.356020942408377,13,3.4031413612565444
01109,1,Mitte,109,W,1,75,1182,397,7,390,130,33.33333333333333,121,31.025641025641026,28,7.179487179487179,28,7.179487179487179,31,7.948717948717948,10,2.564102564102564,5,1.282051282051282,37,9.487179487179487
01110,1,Mitte,110,W,1,75,1534,752,9,743,180,24.226110363391655,108,14.535666218034994,255,34.32032301480484,72,9.690444145356663,71,9.55585464333782,3,0.4037685060565276,16,2.1534320323014806,38,5.114401076716016
01111,1,Mitte,111,W,1,75,1069,531,6,525,132,25.142857142857146,77,14.666666666666666,174,33.14285714285714,59,11.238095238095239,53,10.095238095238095,1,0.19047619047619047,17,3.2380952380952377,12,2.2857142857142856
01112,1,Mitte,112,W,1,75,1270,566,5,561,116,20.677361853832444,66,11.76470588235294,205,36.54188948306595,53,9.44741532976827,69,12.299465240641712,6,1.06951871657754,20,3.5650623885918007,26,4.634581105169341
01113,1,Mitte,113,W,1,75,1225,617,10,607,148,24.382207578253706,83,13.673805601317957,215,35.42009884678748,50,8.237232289950576,68,11.202635914332784,9,1.4827018121911038,8,1.3179571663920924,26,4.2833607907743
01114,1,Mitte,114,W,1,75,1455,663,3,660,166,25.151515151515152,57,8.636363636363637,231,35.0,63,9.545454545454547,93,14.09090909090909,8,1.2121212121212122,8,1.2121212121212122,34,5.151515151515151
01115,1,Mitte,115,W,1,75,937,365,5,360,95,26.38888888888889,47,13.055555555555557,76,21.11111111111111,66,18.333333333333332,38,10.555555555555555,11,3.0555555555555554,13,3.6111111111111107,14,3.888888888888889
01116,1,Mitte,116,W,1,75,747,367,3,364,93,25.549450549450547,53,14.560439560439562,123,33.791208791208796,29,7.967032967032966,41,11.263736263736265,4,1.098901098901099,7,1.9230769230769231,14,3.8461538461538463
01117,1,Mitte,117,W,1,75,1457,745,6,739,173,23.410013531799727,111,15.020297699594046,247,33.42354533152909,68,9.201623815967523,78,10.554803788903925,6,0.8119079837618403,22,2.9769959404600814,34,4.600811907983761
01118,1,Mitte,118,W,1,75,1104,555,10,545,143,26.238532110091743,61,11.192660550458717,194,35.59633027522936,55,10.091743119266056,58,10.642201834862385,5,0.9174311926605505,12,2.2018348623853212,17,3.1192660550458715
01119,1,Mitte,119,W,1,75,929,481,1,480,129,26.875,51,10.625,171,35.625,48,10.0,46,9.583333333333334,2,0.4166666666666667,11,2.2916666666666665,22,4.583333333333333
01120,1,Mitte,120,W,1,75,1183,560,10,550,144,26.181818181818183,57,10.363636363636363,191,34.72727272727273,47,8.545454545454545,72,13.090909090909092,5,0.9090909090909091,14,2.5454545454545454,20,3.6363636363636362
01121,1,Mitte,121,W,1,75,1135,511,0,511,143,27.984344422700584,59,11.545988258317024,197,38.551859099804304,32,6.262230919765166,47,9.197651663405088,5,0.9784735812133072,7,1.36986301369863,21,4.10958904109589
01122,1,Mitte,122,W,1,75,980,459,13,446,100,22.421524663677133,57,12.780269058295964,162,36.32286995515695,42,9.417040358744394,52,11.659192825112108,2,0.4484304932735426,9,2.0179372197309418,22,4.932735426008969
01123,1,Mitte,123,W,1,75,966,449,3,446,104,23.318385650224215,81,18.161434977578477,155,34.753363228699556,26,5.829596412556054,51,11.434977578475337,2,0.4484304932735426,9,2.0179372197309418,18,4.0358744394618835
011A,1,Mitte,1A,B,1,75,0,1135,3,1132,300,26.501766784452297,266,23.498233215547703,284,25.08833922261484,115,10.159010600706713,81,7.1554770318021195,10,0.88339222614841,41,3.6219081272084805,35,3.091872791519435
011B,1,Mitte,1B,B,1,75,0,955,6,949,243,25.6059009483667,206,21.707060063224446,238,25.07903055848261,134,14.120126448893572,57,6.006322444678609,7,0.7376185458377239,32,3.371970495258166,32,3.371970495258166
011C,1,Mitte,1C,B,1,75,0,847,5,842,212,25.17814726840855,170,20.19002375296912,265,31.47268408551069,76,9.026128266033254,53,6.294536817102138,5,0.5938242280285035,24,2.8503562945368173,37,4.394299287410926
011D,1,Mitte,1D,B,1,75,0,1076,6,1070,260,24.299065420560748,192,17.94392523364486,374,34.953271028037385,95,8.878504672897195,74,6.915887850467289,4,0.3738317757009346,33,3.08411214953271,38,3.551401869158879
011E,1,Mitte,1E,B,1,75,0,1164,7,1157,290,25.064822817631804,182,15.730337078651685,434,37.51080380293864,93,8.038029386343993,75,6.482281763180639,2,0.17286084701815038,41,3.543647363872083,40,3.457216940363008
01200,1,Mitte,200,W,2,75,902,384,8,376,101,26.861702127659576,82,21.808510638297875,40,10.638297872340425,90,23.93617021276596,30,7.9787234042553195,6,1.5957446808510638,9,2.393617021276596,18,4.787234042553192
01201,1,Mitte,201,W,2,75,1134,458,4,454,131,28.854625550660796,90,19.823788546255507,58,12.77533039647577,77,16.96035242290749,45,9.911894273127754,6,1.3215859030837005,24,5.286343612334802,23,5.066079295154185
