constituency_association,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_afd,others
1,34132,22896.0,67.1,22409.0,30.7,35.6,7.1,9.7,3.2,1.6,3.3,6.1,2.8
2,31575,20270.0,64.2,19783.0,29.9,33.9,7.7,10.7,3.6,1.7,3.0,6.4,3.0
3,33242,22606.0,68.0,22121.0,29.9,34.5,8.4,10.4,3.7,1.5,3.3,5.5,2.9
4,33224,24028.0,72.3,23547.0,29.6,39.0,6.5,8.7,2.7,1.6,3.8,5.6,2.5
5,32811,25508.0,77.7,25104.0,25.3,42.6,8.9,6.8,2.1,0.9,5.4,6.2,1.8
