district,total,between_18_and_25_total,between_18_and_25_percentage,between_25_and_35_total,between_25_and_35_percentage,between_35_and_45_total,between_35_and_45_percentage,between_45_and_60_total,between_45_and_60_percentage,between_60_and_70_total,between_60_and_70_percentage,between_70_and_above_total,between_70_an_above_percentage
1,30357,2025.0,6.7,6071.0,20.0,3605.0,11.9,9887.0,32.6,4513.0,14.9,4256.0,14.0
2,32792,1939.0,5.9,5562.0,17.0,4315.0,13.2,9495.0,29.0,5487.0,16.7,5994.0,18.3
3,35869,2471.0,6.9,6884.0,19.2,4388.0,12.2,7764.0,21.6,5269.0,14.7,9093.0,25.4
4,35418,2386.0,6.7,8874.0,25.1,5186.0,14.6,7340.0,20.7,3946.0,11.1,7686.0,21.7
5,34723,2223.0,6.4,9993.0,28.8,5654.0,16.3,7153.0,20.6,4048.0,11.7,5652.0,16.3
6,36592,2029.0,5.5,6537.0,17.9,5725.0,15.6,8843.0,24.2,4338.0,11.9,9120.0,24.9
