feature,1990,1995,1999,2001,2006,2011,2016,2021,2023
Gültige Zweitstimmen,100,100,100,100,100,100,100.0,100.0,100.0
SPD,32.1,20.2,17.8,23.2,29.8,28.8,19.3,19.4,16.4
CDU,25,23.6,26.9,12.4,11.4,14.2,13.1,14.3,24.3
GRÜNE ¹,11.4,10,6.4,5.9,10.5,13.5,12.6,16.9,16.4
DIE LINKE ²,23.6,36.3,39.5,47.6,28.1,22.7,23.4,19.5,16.7
AfD,x,x,x,x,x,x,17.0,10.4,12.2
FDP,5.6,1.1,1.1,5.3,4.9,1.2,4.0,6.1,3.7
PIRATEN,x,x,x,x,x,10.1,1.9,0.5,0.4
Sonstige,2.3,8.7,8.2,5.5,15.4,9.5,8.8,13.0,10.0
