feature,1990,1995,1999,2001,2006,2011,2016,2021,2023
Gültige Zweitstimmen,100,81.8,74.6,77.2,65.1,67.4,73.7,73.7,67.8
SPD,100,70.7,63.7,88.2,69.4,63.9,58,58,45.7
CDU,100,75.7,75.1,48.5,36.8,40.6,31.4,31.4,43.1
GRÜNE ¹,100,150,110.3,105.1,118,167.8,153.8,201.8,164.4
DIE LINKE ²,100,158.7,289.5,487.8,248.7,266.6,680.6,753.4,556.2
AfD,x,x,x,x,x,x,x,x,x
FDP,100,34.9,26.9,125.4,76.9,19.3,80.4,81.6,45.7
PIRATEN,x,x,x,x,x,x,x,x,x
Sonstige,100,162.1,109.2,82,189.3,116.7,109.9,213.2,121.6
