district,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_afd,others
Mitte,204085,141574,69.4,139400,26.1,22.6,16.7,18.7,4.7,0.9,3.7,3.9,2.6
Friedrichshain-Kreuzberg,174325,129367,74.2,127512,24.2,14.1,22.2,24.5,6.1,0.6,2.0,2.6,3.5
Pankow,287259,213742,74.4,211002,22.2,22.8,14.4,25.5,4.0,1.4,2.5,4.6,2.5
Charlottenburg-Wilmersdorf,220176,168597,76.6,166547,27.2,32.3,15.1,9.2,2.7,0.5,6.5,4.8,1.7
Spandau,164984,115308,69.9,112964,29.0,37.3,7.7,9.2,3.0,1.4,3.8,5.9,2.6
Steglitz-Zehlendorf,220007,175539,79.8,173437,25.6,37.2,13.5,7.2,2.5,0.6,6.4,5.3,1.7
Tempelhof-Schöneberg,235259,177205,75.3,174432,27.4,31.7,15.4,10.3,3.2,0.9,4.1,4.6,2.4
Neukölln,205635,140825,68.5,137957,26.2,29.0,13.9,14.3,4.1,1.9,3.0,4.2,3.4
Treptow-Köpenick,201629,148406,73.6,146281,21.3,25.4,7.4,29.5,3.5,2.6,2.0,5.5,2.7
Marzahn-Hellersdorf,203968,132817,65.1,130732,19.2,26.0,3.9,32.9,3.1,3.9,1.7,6.4,3.0
Lichtenberg,205457,138551,67.4,136401,20.4,23.1,5.8,34.6,3.7,2.6,1.6,5.5,2.8
Reinickendorf,182934,133484,73.0,131056,26.4,40.1,8.7,7.9,2.6,1.5,4.4,6.0,2.4
