id,district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
01,01,191609,59178,141,59037,34563,24474,0.3088477054835629,0.002382642198114164,0.9976173578018859,0.5840515056270912,0.4135658521747947
02,02,167835,51298,141,51157,20112,31045,0.3056454255667769,0.00274864517135171,0.9972513548286482,0.39206206869663535,0.605189286132013
03,03,279123,79047,147,78900,26908,51992,0.2831977300329962,0.00185965311776538,0.9981403468822346,0.34040507546143434,0.6577352714208002
04,04,216236,93481,160,93321,66952,26369,0.43231006862872046,0.0017115777537681455,0.9982884222462318,0.7162097110642804,0.28207871118195144
05,05,160770,58469,92,58377,44339,14038,0.3636810350189712,0.001573483384357523,0.9984265166156425,0.7583334758590022,0.24009304075664026
06,06,214455,109036,188,108848,80505,28343,0.5084330045930382,0.0017242011812612348,0.9982757988187387,0.7383341281778495,0.25994167064088924
07,07,230190,108438,206,108232,76033,32199,0.4710804118337026,0.001899703056124237,0.9981002969438758,0.7011656430402626,0.2969346539036131
08,08,193472,80728,179,80549,59781,20768,0.4172593450215018,0.002217322366465167,0.9977826776335348,0.7405237340204143,0.2572589436131206
09,09,196930,65356,129,65227,28923,36304,0.3318742700451937,0.001973805006426342,0.9980261949935737,0.44254544341758983,0.5554807515759839
10,10,202645,46762,150,46612,15602,31010,0.23075822250734043,0.003207732774475001,0.996792267225525,0.33364697831572643,0.6631452889097985
11,11,202203,50185,99,50086,15280,34806,0.24819117421601064,0.001972701006276776,0.9980272989937232,0.3044734482415064,0.6935538507522168
12,12,182567,79057,139,78918,60882,18036,0.4330300656745195,0.0017582250781082004,0.9982417749218918,0.7701025842113918,0.2281391907105
