id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_die_grauen,party_freie_wähler,party_verjüngungsforschung,party_ödp,party_du,party_v_partei3,party_dkp,party_mlpd,party_büso,party_sgp,party_wir_bürger,party_heimat,party_die_humanisten,party_team_todenhöfer,party_volt,party_cdu_percentage,party_die_linke_percentage,party_spd_percentage,party_grüne_percentage,party_afd_percentage,party_fdp_percentage,party_die_partei_percentage,party_tierschutzpartei_percentage,party_piraten_percentage,party_die_grauen_percentage,party_freie_wähler_percentage,party_verjüngungsforschung_percentage,party_ödp_percentage,party_du_percentage,party_v_partei3_percentage,party_dkp_percentage,party_mlpd_percentage,party_büso_percentage,party_sgp_percentage,party_wir_bürger_percentage,party_heimat_percentage,party_die_humanisten_percentage,party_team_todenhöfer_percentage,party_volt_percentage
282,01,207010,134737,72273,0,140655,66424,138799,1856,67.94599294720062,1.3195407202019125,98.68045927979809,16526,19610,28881,42486,7810,11040,2271,2473,579,811,746,209,203,245,111,196,88,36,42,63,78,333,2746,1216,11.906425838802873,14.128343864148876,20.80778679961671,30.609730617655746,5.626841691943025,7.953947795012932,1.6361789350067362,1.781713124734328,0.41714997946671084,0.5842981577677072,0.5374678491919971,0.15057745372805278,0.14625465601337187,0.17651424001613844,0.07997175772159741,0.14121139201291075,0.06340103314865381,0.02593678628808565,0.03025958400276659,0.045389376004149884,0.056196370290852234,0.23991527316479228,1.9784004207523112,0.8760870035086709
634,02,169836,105576,64260,0,122900,59439,121651,1249,72.36392755363998,1.016273393002441,98.98372660699756,8673,22903,21600,46433,4720,6693,2939,2071,543,511,513,146,146,286,97,208,70,26,33,35,24,260,1714,1007,7.129411184453889,18.826807835529507,17.755711009362848,38.16902450452524,3.879951665008919,5.501804341928961,2.415927530394325,1.7024109953884474,0.44635884620759386,0.42005408915668596,0.42169813647236765,0.12001545404476742,0.12001545404476742,0.2350987661424896,0.07973629481056464,0.1709809208309015,0.057541656048861085,0.021372615103862687,0.0271267807087488,0.028770828024430543,0.019728567788180947,0.21372615103862688,1.4089485495392557,0.8277778234457588
993,03,282057,193371,88686,0,163969,79468,162460,1509,58.13328511612901,0.9202959095926669,99.07970409040733,25772,24116,24971,43550,22085,6073,3680,4549,749,1583,1224,342,296,325,114,384,79,54,55,207,105,337,620,1190,15.863597193155238,14.844269358611351,15.370552751446509,26.80659854733473,13.594115474578357,3.738150929459559,2.265172965653084,2.8000738643358365,0.46103656284623906,0.9743936969100087,0.7534162255324387,0.21051335713406374,0.18219869506340022,0.20004924289055767,0.07017111904468792,0.2363658746768435,0.04862735442570479,0.03323895112643112,0.033854487258402066,0.12741597931798596,0.0646312938569494,0.20743567647420902,0.38163240182198693,0.7324879970454266
1444,04,216244,136361,79883,0,144852,72914,143228,1624,66.98544237065536,1.1211443404302321,98.87885565956977,31193,9468,31716,37537,9110,14813,1680,2469,462,739,867,128,172,141,71,90,25,44,20,79,39,273,1091,1001,21.778562850839222,6.610439299578295,22.14371491607786,26.207864384058983,6.360488172703661,10.342251515066886,1.1729550087971625,1.7238249504286869,0.3225626274192197,0.5159605663697043,0.6053285670399642,0.08936800067026,0.12008825090066189,0.09844443823833328,0.04957131287178485,0.06283687547127656,0.017454687630910157,0.030720250230401876,0.013963750104728126,0.0551568129136761,0.027229312704219844,0.19060518892953893,0.7617225682129193,0.6988856927416427
1270,05,159238,105928,53310,0,111246,48365,108526,2720,69.86146522814906,2.445031731477986,97.55496826852202,24000,5244,30031,14857,11620,10919,1678,3860,416,1453,998,342,217,150,80,48,43,43,27,83,111,187,1651,468,22.114516337098944,4.83202181965612,27.671710004975765,13.68980705084496,10.70711165987874,10.061183495199307,1.5461732672355013,3.5567513775500803,0.38331828317638167,1.3388496765751985,0.9195953043510311,0.31513185780366,0.19995208521460295,0.13821572710686839,0.07371505445699647,0.044229032674197886,0.03962184177063561,0.03962184177063561,0.02487883087923631,0.07647936899913385,0.1022796380590826,0.17230893979322928,1.5212944363562648,0.43123306857342947
2112,06,217506,119304,98202,0,171803,90966,169580,2223,78.98770608626889,1.293923854647474,98.70607614535253,39905,8076,40677,38460,10036,20813,1669,3326,556,1177,1335,328,288,164,115,55,13,48,28,95,55,262,1010,1089,23.531666470102603,4.762354051185282,23.986908833588867,22.679561269017572,5.918150725321382,12.273263356527893,0.9841962495577309,1.9613161929472815,0.32786885245901637,0.6940676966623422,0.7872390612100483,0.19341903526359241,0.16983134803632505,0.09670951763179621,0.06781460077839369,0.032433069937492634,0.007665998348861894,0.028305224672720838,0.016511381059087157,0.05602075716476,0.032433069937492634,0.15449935133860124,0.595589102488501,0.642174784762354
2324,07,231477,136349,95128,0,172069,87571,169338,2731,74.33524713038445,1.5871539905503025,98.4128460094497,31751,12706,41215,42791,10921,15633,2009,3736,644,1377,1449,325,310,226,126,117,41,66,36,98,84,233,2350,1094,18.750073816863313,7.503336522221829,24.338896172152737,25.269579184825613,6.44923171408662,9.231832193600964,1.1863846271953133,2.2062384107524595,0.38030447979780085,0.8131665662757326,0.8556850795450519,0.19192384461845538,0.18306582102068053,0.13346088887314128,0.07440739822130886,0.06909258406264394,0.0242119311672513,0.038975303830209404,0.021259256634659673,0.05787242083879578,0.04960493214753925,0.13759463321876955,1.3877570303180622,0.6460451877310468
2768,08,196593,126836,69757,0,134004,63148,131524,2480,68.16315942073217,1.850691024148533,98.14930897585147,22400,15616,31498,29474,10089,9325,1973,3226,451,1135,961,275,169,264,77,120,87,61,34,115,98,197,3234,645,17.031112192451566,11.873118214166235,23.948480885617833,22.40959824822846,7.670843344180529,7.0899607676165575,1.5001064444512027,2.452784282716462,0.34290319637480615,0.8629603722514522,0.7306651257565159,0.20908731486268664,0.12849365895197834,0.2007238222681792,0.05854444816155226,0.09123810103099055,0.06614762324746815,0.046379368024086855,0.02585079529211399,0.0874365134880326,0.0745111158419756,0.1497825491925428,2.458866822785195,0.4904047930415742
3168,09,206999,127612,79387,0,156625,72603,153871,2754,75.66461673727892,1.7583399840383083,98.2416600159617,20562,24609,35690,24686,19322,12190,2957,4799,596,2137,2133,549,314,218,123,264,92,90,34,269,378,351,726,782,13.363141852590807,15.993267087365389,23.194754047221373,16.043309005595596,12.557272000571906,7.922220561379337,1.9217396390482935,3.118846306321529,0.38733744500263206,1.3888257046486991,1.3862261244808964,0.356792378030948,0.20406704317252763,0.14167711914525805,0.07993709015993918,0.1715722910749914,0.0597903438594667,0.058490553775565245,0.02209643142632465,0.17482176628474502,0.24566032585737405,0.22811315972470445,0.47182380045622635,0.5082179228054668
2800,10,198002,133735,64267,0,133719,59002,130849,2870,67.5341663215523,2.1462918508214988,97.8537081491785,21887,20755,29991,11207,22665,9372,2108,4990,531,2434,1301,709,140,178,87,298,84,97,48,164,404,284,509,606,16.726914229378902,15.86179489335035,22.920312726883658,8.564834274621893,17.3214927129745,7.162454432208118,1.6110172794595299,3.8135560837301012,0.40581127864943556,1.8601594204006144,0.9942758446759242,0.5418459445620525,0.10699355745936155,0.13603466591261681,0.06648885356403182,0.22774342944921244,0.06419613447561692,0.07413125052541479,0.036683505414638246,0.12533531016668067,0.3087528372398719,0.2170440737032763,0.38899800533439305,0.46312925585980785
