id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_tierschutzpartei,party_pro_deutschland,party_die_partei,party_big,party_dkp,party_ödp,party_psg,party_büso,party_b,party_dl,party_alfa,party_tierschutzallianz,party_afd,party_die_einheit,party_die_violetten,party_graue_panther,party_menschliche_welt,party_mieterpartei,party_gesundheitsforschung,individual_applicant_1,individual_applicant_2,individual_applicant_3,individual_applicant_4,individual_applicant_5,individual_applicant_6,individual_applicant_7,individual_applicant_8,individual_applicant_9,individual_applicant_10,individual_applicant_11,individual_applicant_12,individual_applicant_13,individual_applicant_14,individual_applicant_15,individual_applicant_16,individual_applicant_17,individual_applicant_18,party_deutsche_konservative,party_pdw,party_aktive_bürger,party_win,party_wiss,party_ökolinx-arl_b_f-k,party_pne,party_banc,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01,01,250740,208679,42061,0,134861,38683,1897,132964,31650,17948,31809,23778,4585,0,7992,0,557,0,0,0,0,596,0,0,0,0,0,13172,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7851958203717,1.4066334967114287,98.59336650328856
02,02,200372,162762,37610,0,124560,34915,1275,123285,21241,9546,40368,25639,5872,0,3974,0,322,5723,0,554,467,0,0,0,0,0,0,7613,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,1131,0,0,62.164374263869206,1.0236030828516378,98.97639691714836
03,03,310127,248895,61232,0,207123,57352,2441,204682,41027,26178,42148,43172,5314,1090,8033,0,977,5351,0,0,0,0,0,0,0,0,0,27187,0,0,0,0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,66.78651004265994,1.1785267691178671,98.82147323088213
04,04,251212,196265,54947,0,158193,51215,1703,156490,39317,33841,30982,12312,2541,0,16193,0,391,2453,0,0,0,0,0,0,0,0,0,15226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,3145,0,0,0,0,0,62.9719121698008,1.0765330956489858,98.92346690435102
05,05,179192,148377,30811,4,106333,28903,2058,104275,34652,26843,7915,5883,1831,0,6654,0,773,1600,0,0,0,0,0,0,0,0,0,16668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,0,0,0,59.34026072592526,1.9354292646685411,98.06457073533146
06,06,236790,173821,62969,0,168547,59002,2156,166391,37546,47316,32685,10081,4014,0,16474,0,772,0,0,0,0,0,0,0,0,0,0,17503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.17994847755395,1.2791684218645243,98.72083157813547
07,07,260657,203638,57019,0,167000,53193,2300,164700,40654,34776,36124,14359,3350,0,11132,0,602,2787,0,0,0,410,0,0,0,0,0,18224,0,0,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.06887211929853,1.377245508982036,98.62275449101796
08,08,232972,189447,43520,5,134358,40486,2149,132209,40182,21565,19717,16187,2903,940,5600,2884,378,3265,455,0,0,0,0,0,0,0,0,16849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,800,57.67130814003399,1.5994581640095862,98.40054183599042
09,09,212163,172385,39774,4,140554,37281,1982,138572,34467,17376,12999,31432,2930,1610,4975,0,1139,3739,0,0,0,0,0,0,0,0,0,27905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.24812054882331,1.4101341833032144,98.58986581669679
10,10,209842,177753,32089,0,123895,30163,1932,121963,22275,21007,5559,31759,2086,1932,3096,0,1852,0,0,0,0,0,0,0,0,963,0,28263,445,0,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.04204115477359,1.5593849630735703,98.44061503692643
11,11,217755,181276,36479,0,130786,34025,2243,128543,27856,16221,10603,38353,3689,1291,3779,0,2134,0,0,0,0,0,0,0,0,0,0,24617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.06107781681247,1.715015368617436,98.28498463138257
12,12,198575,160021,38553,1,124794,35953,1949,122845,26331,43717,12752,6637,1630,551,8113,0,563,1560,0,0,0,0,0,0,0,0,0,17696,0,0,3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.844768978975196,1.5617738032277193,98.43822619677228
