id,district_id,electoral_district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_tierschutzpartei,party_pro_deutschland,party_die_partei,party_big,party_dkp,party_ödp,party_psg,party_büso,party_b,party_dl,party_alfa,party_tierschutzallianz,party_afd,party_die_einheit,party_die_violetten,party_graue_panther,party_menschliche_welt,party_mieterpartei,party_gesundheitsforschung,individual_applicant_1,individual_applicant_2,individual_applicant_3,individual_applicant_4,individual_applicant_5,individual_applicant_6,individual_applicant_7,individual_applicant_8,individual_applicant_9,individual_applicant_10,individual_applicant_11,individual_applicant_12,individual_applicant_13,individual_applicant_14,individual_applicant_15,individual_applicant_16,individual_applicant_17,individual_applicant_18,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_spd_percentage,party_cdu_percentage,party_grüne_percentage,party_die_linke_percentage,party_piraten_percentage,party_npd_percentage,party_fdp_percentage,party_tierschutzpartei_percentage,party_pro_deutschland_percentage,party_die_partei_percentage,party_big_percentage,party_dkp_percentage,party_ödp_percentage,party_psg_percentage,party_büso_percentage,party_b_percentage,party_dl_percentage,party_alfa_percentage,party_tierschutzallianz_percentage,party_afd_percentage,party_die_einheit_percentage,party_die_violetten_percentage,party_graue_panther_percentage,party_menschliche_welt_percentage,party_mieterpartei_percentage,party_gesundheitsforschung_percentage,individual_applicant_1_percentage,individual_applicant_2_percentage,individual_applicant_3_percentage,individual_applicant_4_percentage,individual_applicant_5_percentage,individual_applicant_6_percentage,individual_applicant_7_percentage,individual_applicant_8_percentage,individual_applicant_9_percentage,individual_applicant_10_percentage,individual_applicant_11_percentage,individual_applicant_12_percentage,individual_applicant_13_percentage,individual_applicant_14_percentage,individual_applicant_15_percentage,individual_applicant_16_percentage,individual_applicant_17_percentage,individual_applicant_18_percentage
011A,01,1A,0,0,0,0,1480,1480,10,1468,317,361,356,192,27,0,127,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.6756756756756757,99.1891891891892,21.59400544959128,24.591280653950953,24.250681198910083,13.079019073569482,1.8392370572207086,0.0,8.651226158038147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.994550408719346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011B,01,1B,0,0,0,0,1176,1176,10,1162,220,254,266,184,16,0,131,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.8503401360544218,98.80952380952381,18.9328743545611,21.858864027538726,22.89156626506024,15.834767641996558,1.376936316695353,0.0,11.273666092943202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83132530120482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011C,01,1C,0,0,0,0,1094,1094,14,1079,227,224,322,137,19,0,89,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,1.2797074954296161,98.62888482632542,21.03799814643188,20.759962928637627,29.842446709916587,12.696941612604263,1.7608897126969416,0.0,8.2483781278962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.653382761816497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011D,01,1D,0,0,0,0,1121,1121,7,1111,214,177,372,142,29,0,111,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.6244424620874219,99.1079393398751,19.26192619261926,15.931593159315932,33.48334833483349,12.781278127812781,2.6102610261026102,0.0,9.99099909990999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9405940594059405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011E,01,1E,0,0,0,0,1450,1450,10,1440,318,247,461,184,33,0,125,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.6896551724137931,99.3103448275862,22.083333333333332,17.15277777777778,32.013888888888886,12.777777777777777,2.2916666666666665,0.0,8.680555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
012A,01,2A,0,0,0,0,1454,1454,10,1443,303,304,117,377,19,0,134,0,8,0,0,0,0,0,0,0,0,0,0,178,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.6877579092159559,99.24346629986245,20.997920997921,21.067221067221066,8.108108108108109,26.126126126126124,1.3167013167013166,0.0,9.286209286209287,0.0,0.5544005544005544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.335412335412336,0.0,0.2079002079002079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
012B,01,2B,0,0,0,0,1376,1376,11,1354,338,198,211,374,22,0,74,0,5,0,0,0,0,0,0,0,0,0,0,124,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.7994186046511629,98.40116279069767,24.963072378138847,14.623338257016247,15.583456425406203,27.621861152141804,1.6248153618906942,0.0,5.465288035450517,0.0,0.3692762186115214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15805022156573,0.0,0.5908419497784343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
012C,01,2C,0,0,0,0,1136,1136,8,1106,233,157,181,308,20,0,85,0,4,0,0,0,0,0,0,0,0,0,0,114,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.7042253521126761,97.35915492957746,21.066907775768534,14.195298372513562,16.365280289330922,27.848101265822784,1.8083182640144666,0.0,7.685352622061482,0.0,0.3616636528028933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.30741410488246,0.0,0.3616636528028933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
012D,01,2D,0,0,0,0,939,939,9,923,202,109,61,358,19,0,27,0,7,0,0,0,0,0,0,0,0,0,0,137,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0.9584664536741214,98.29605963791266,21.885157096424702,11.80931744312026,6.608884073672806,38.78656554712892,2.058504875406284,0.0,2.925243770314193,0.0,0.7583965330444203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.842903575297942,0.0,0.3250270855904659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
012E,01,2E,0,0,0,0,1069,1069,14,1052,202,181,131,343,13,0,59,0,7,0,0,0,0,0,0,0,0,0,0,109,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,1.3096351730589337,98.40972871842844,19.20152091254753,17.20532319391635,12.452471482889733,32.60456273764258,1.2357414448669202,0.0,5.608365019011407,0.0,0.6653992395437262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.361216730038022,0.0,0.6653992395437262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
