electoral_district,eligible_voters,voters,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
Charlottenburg-Wilmersdorf 5,30094,66.1,99.5,18.8,39.0,16.0,5.2,5.4,9.9,5.7
Charlottenburg-Wilmersdorf 6,30977,68.0,99.4,21.6,27.6,24.2,8.5,4.4,7.0,6.6
Charlottenburg-Wilmersdorf 7,32058,70.2,99.4,22.1,31.9,20.1,7.3,5.5,6.3,6.8
Spandau 1,33631,53.1,99.0,22.2,37.2,9.6,4.8,12.2,4.1,9.9
Spandau 2,28541,50.4,98.7,23.0,33.9,9.8,5.6,12.8,3.8,11.1
Spandau 3,32463,53.4,99.1,21.2,34.4,12.1,5.9,10.8,4.5,11.0
Spandau 4,30986,59.9,99.1,21.2,43.9,7.8,3.5,11.3,4.1,8.3
Spandau 5,31472,67.5,99.3,20.4,43.9,11.2,3.3,8.5,6.0,6.8
Steglitz-Zehlendorf 1,31551,70.9,99.5,20.5,28.7,23.4,7.6,5.3,6.5,7.9
Steglitz-Zehlendorf 2,30751,67.6,99.3,21.6,30.1,20.7,7.0,6.0,6.3,8.3
Steglitz-Zehlendorf 3,33163,74.4,99.4,20.4,36.8,18.0,4.9,5.0,8.7,6.2
Steglitz-Zehlendorf 4,28634,68.3,99.3,21.0,39.0,14.8,4.7,6.6,6.9,6.9
Steglitz-Zehlendorf 5,29597,64.0,99.3,20.6,38.3,13.5,4.9,8.2,6.3,8.2
Steglitz-Zehlendorf 6,31196,75.4,99.5,18.8,36.6,19.2,5.4,4.8,9.5,5.8
Steglitz-Zehlendorf 7,29416,76.8,99.7,18.7,38.4,18.1,4.1,4.8,10.7,5.2
Tempelhof-Schöneberg 1,33584,64.3,99.4,19.3,21.1,31.1,12.3,4.0,4.7,7.4
Tempelhof-Schöneberg 2,32549,66.1,99.5,19.3,17.2,34.2,13.5,3.7,3.7,8.5
Tempelhof-Schöneberg 3,33689,72.0,99.5,21.9,23.0,30.0,9.1,4.0,4.7,7.4
Tempelhof-Schöneberg 4,32261,64.7,99.3,19.1,27.8,23.3,10.2,5.8,3.9,9.9
Tempelhof-Schöneberg 5,32535,59.9,99.0,20.3,38.5,12.1,6.4,8.7,4.9,9.1
Tempelhof-Schöneberg 6,31519,63.2,99.0,20.0,45.6,9.1,3.8,9.6,4.8,7.1
Tempelhof-Schöneberg 7,32169,66.7,99.2,19.2,47.3,9.0,3.6,8.9,5.4,6.6
Neukölln 1,31347,60.9,99.5,14.4,10.3,35.4,24.8,3.4,1.8,9.9
Neukölln 2,31401,57.2,99.4,14.3,9.7,35.8,25.7,3.4,1.8,9.4
Neukölln 3,32766,49.3,99.2,20.3,20.0,22.8,17.6,6.5,2.5,10.2
Neukölln 4,32449,54.2,98.9,27.5,41.2,5.2,4.6,10.6,3.6,7.2
Neukölln 5,32698,62.3,99.2,25.3,40.3,8.5,4.4,9.9,4.4,7.2
Neukölln 6,32450,63.3,99.0,25.2,43.9,5.6,3.6,10.8,4.2,6.6
Treptow-Köpenick 1,35320,62.6,99.2,15.8,18.3,21.3,20.9,9.8,3.1,10.8
Treptow-Köpenick 2,35484,61.3,99.2,20.4,22.1,12.4,16.4,13.5,3.4,11.7
Treptow-Köpenick 3,35452,61.3,99.1,17.4,30.6,8.7,12.2,17.0,3.6,10.5
Treptow-Köpenick 4,36304,65.3,99.2,17.9,28.4,11.1,14.5,13.9,4.3,9.9
Treptow-Köpenick 5,29509,64.1,99.2,18.9,27.6,7.0,14.8,17.6,4.1,10.0
Treptow-Köpenick 6,33601,69.6,99.2,17.8,29.0,12.1,16.2,12.2,3.6,9.1
Marzahn-Hellersdorf 1,31227,44.4,98.9,15.0,22.9,3.5,16.0,28.0,2.2,12.3
Marzahn-Hellersdorf 2,33100,52.4,98.8,18.1,26.9,4.1,17.5,20.4,2.5,10.5
Marzahn-Hellersdorf 3,33308,45.5,98.7,15.0,24.6,4.3,14.8,25.2,2.7,13.4
Marzahn-Hellersdorf 4,34702,64.5,99.2,15.7,36.5,6.8,14.4,14.7,3.0,9.0
Marzahn-Hellersdorf 5,33666,76.1,99.5,16.2,40.1,7.5,11.5,13.3,4.0,7.4
Marzahn-Hellersdorf 6,30837,53.3,98.9,15.3,31.9,5.0,14.3,20.2,2.6,10.9
Lichtenberg 1,33609,52.8,99.1,14.0,34.7,4.0,14.4,20.9,2.1,9.9
Lichtenberg 2,32709,60.8,99.2,14.9,34.6,6.9,15.9,15.3,2.9,9.6
Lichtenberg 3,33756,54.4,99.1,18.5,23.1,9.0,19.5,14.6,3.1,12.2
Lichtenberg 4,33234,60.3,99.2,16.8,18.0,17.3,21.9,10.7,3.0,12.3
Lichtenberg 5,33134,60.3,99.0,15.9,19.8,15.0,20.9,12.7,2.9,12.7
Lichtenberg 6,30935,70.2,99.4,17.2,23.2,16.6,18.4,9.9,4.0,10.7
Reinickendorf 1,27733,50.2,98.8,19.3,34.5,12.6,8.2,11.8,3.0,10.6
Reinickendorf 2,28139,54.9,98.8,20.5,38.0,9.5,5.4,13.0,3.9,9.7
Reinickendorf 3,29915,71.5,99.4,20.7,41.7,12.9,3.4,8.3,5.9,7.1
Reinickendorf 4,33426,63.8,99.0,20.7,39.6,12.4,4.1,9.9,4.8,8.6
Reinickendorf 5,26572,49.8,98.9,21.8,41.0,6.6,3.9,14.4,3.8,8.6
Reinickendorf 6,27633,79.0,99.5,19.0,44.0,15.3,3.5,6.0,6.8,5.6
Berlin,2431776,62.9,99.3,18.4,28.2,18.4,12.2,9.1,4.6,9.0
