feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,233319,x,x,236790,x,x
Wählende,157740,67.6,x,168547,71.2,x
darunter Briefwählende,76874,48.7,x,58146,34.5,x
Abgegebene Stimmen,157740,x,x,168547,x,x
Mindeststimmen (3%),4733,3,x,5057,3,x
Ungültige Stimmen,911,0.6,x,2156,1.3,x
Gültige Stimmen,156829,99.4,x,166391,98.7,x
SPD,29615,18.9,11,37546,22.6,13
CDU,56636,36.1,22,47316,28.4,17
GRÜNE,33946,21.6,13,32685,19.6,11
DIE LINKE,7348,4.7,2,10081,6.1,3
AfD,8729,5.6,3,17503,10.5,6
FDP,10258,6.5,4,16474,9.9,5
Die PARTEI,1689,1.1,0,x,x,x
Tierschutzpartei,3573,2.3,0,x,x,x
PIRATEN,631,0.4,0,4014,2.4,x
dieBasis,1075,0.7,0,x,x,x
FREIE WÄHLER,642,0.4,0,x,x,x
Klimaliste Berlin,448,0.3,0,x,x,x
Die Humanisten,380,0.2,0,x,x,x
Volt,1859,1.2,0,x,x,x
Übrige,x,x,x,772,0.5,x
