electoral_district_id,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,45734,8123,17.8,6.1,37611,2098,5.6,3704,9.8,24707,65.7,7102,18.9
2,44925,8466,18.8,6.2,36459,2046,5.6,3486,9.6,24104,66.1,6823,18.7
3,47607,7147,15,4.3,40460,1957,4.8,5041,12.5,24099,59.6,9363,23.1
4,41914,7332,17.5,4.8,34582,1841,5.3,3836,11.1,20524,59.3,8381,24.2
5,42837,7329,17.1,5.1,35508,2009,5.7,3686,10.4,21566,60.7,8247,23.2
6,44627,6736,15.1,4.3,37891,1836,4.8,4731,12.5,22169,58.5,9155,24.2
7,42810,6632,15.5,4,36178,1687,4.7,4760,13.2,20327,56.2,9404,26
