electoral_district_id,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,28619,20302,70.9,20048,24.4,17.4,20.3,9.4,7.3,8.2,13
2,30659,25062,81.7,24354,22.7,25.8,19.7,6.8,4.9,11.5,8.6
3,30673,24708,80.6,24444,21.7,15.5,28.5,11.4,3.8,8.6,10.5
4,31659,24826,78.4,24512,22,18.7,25.1,8.9,4,11.5,9.7
5,30247,23632,78.1,23377,21.2,27.8,17.6,6.4,5,14,8.1
6,31158,24552,78.8,24199,22.7,19.2,25.5,9.3,3.9,9.4,10
7,32232,25825,80.1,25595,23.8,22,21.8,8.3,5,9.3,9.9
