feature,year_1990,year_1995,year_1999,year_2001,year_2006,year_2011,year_2016,year_2021,year_2023
Gültige Zweitstimmen,100,100,100,100,100,100,100.0,100.0,100.0
SPD,30.4,23.6,22.4,29.7,30.8,28.3,21.6,21.4,18.4
CDU,40.4,37.4,40.8,23.8,21.3,23.3,17.6,18.0,28.2
GRÜNE ¹,9.3,13.2,9.9,9.1,13.1,17.6,15.2,18.9,18.4
DIE LINKE ²,9.2,14.6,17.7,22.6,13.4,11.7,15.6,14.1,12.2
AfD,x,x,x,x,x,x,14.2,8.0,9.1
FDP,7.1,2.5,2.2,9.9,7.6,1.8,6.7,7.1,4.6
PIRATEN,x,x,x,x,x,8.9,1.7,0.4,0.3
Sonstige,3.6,8.6,7,5,13.7,8.3,7.4,12.0,8.7
