feature,year_1990,year_1995,year_1999,year_2001,year_2006,year_2011,year_2016,year_2021,year_2023
Gültige Zweitstimmen,100,82.7,77.4,80.4,68.2,72.4,81,81,75.1
SPD,100,64,57,78.5,69.1,67.3,57.4,57.4,45.4
CDU,100,76.7,78.2,47.3,36.1,41.8,35.3,35.3,52.5
GRÜNE ¹,100,116.6,82.3,78.5,95.8,136.2,131.6,131.6,147.8
DIE LINKE ²,100,132.1,149.8,198.2,100.2,92.5,138.4,138.4,100.2
AfD,x,x,x,x,x,x,x,x,x
FDP,100,29.6,24,112.5,73.1,18.8,76.5,76.5,49.2
PIRATEN,x,x,x,x,x,x,x,x,x
Sonstige,100,197.5,150.5,110.2,258,166.2,166,166,180.7
