vote_type,address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_graue_panther,party_npd,party_gesundheitsforschung,party_lkr,party_dkp,party_sgp,party_büso,party_menschliche_welt,party_b,party_ödp,party_die_basis,party_bildet_berlin,party_dl,party_deutsche_konservative,party_die_grauen,party_neue_demokraten,party_rep,party_du,party_bündnis21,party_die_frauen,party_freie_wähler,party_klimaliste_berlin,party_ld,party_mieterpartei,party_die_humanisten,party_team_todenhöfer,party_volt
Zweitstimme,01W100,01,Mitte,100,W,1A,1,75,W,1650,1071,579,0,431,13,428,3,68,102,112,28,23,40,9,8,3,0,0,2,1,1,0,1,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,1,10,12
Zweitstimme,01W101,01,Mitte,101,W,1B,1,75,O,960,556,404,0,332,8,330,1,57,71,105,26,8,30,12,4,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10
Zweitstimme,01W102,01,Mitte,102,W,1B,1,75,O,1240,755,485,0,385,13,382,3,56,82,91,58,26,34,2,12,1,1,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,0,2,2,0,2,1,1,1
Zweitstimme,01W103,01,Mitte,103,W,1C,1,75,O,1011,593,418,0,276,12,276,0,42,58,79,28,11,34,2,4,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
Zweitstimme,01W104,01,Mitte,104,W,1D,1,75,O,1257,787,470,0,513,17,511,2,97,105,150,54,15,45,2,8,1,1,0,1,0,2,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,1,1,0,0,1,2,19
Zweitstimme,01W105,01,Mitte,105,W,1D,1,75,O,997,668,329,0,385,6,383,2,78,80,100,46,24,27,4,6,3,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,7
Zweitstimme,01W106,01,Mitte,106,W,1E,1,75,O,1437,883,554,0,576,18,576,0,84,141,151,76,22,69,5,4,3,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,7
Zweitstimme,01W107,01,Mitte,107,W,1F,1,75,O,1084,754,330,0,434,19,430,4,52,92,128,64,26,37,1,3,2,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,14
Zweitstimme,01W108,01,Mitte,108,W,1E,1,75,O,1052,667,385,0,363,8,359,4,61,100,69,48,15,30,3,4,0,0,0,1,0,1,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,16
Zweitstimme,01W109,01,Mitte,109,W,1G,1,75,W,1080,779,301,0,308,2,306,1,69,93,39,35,37,9,4,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,1,1,0,2,0,1,3
Zweitstimme,01W110,01,Mitte,110,W,1G,1,75,W,1245,776,469,0,544,21,542,1,74,101,196,73,19,33,8,10,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,3,0,2,1,2,12
Zweitstimme,01W111,01,Mitte,111,W,1H,1,75,O,1032,677,355,0,418,8,417,1,67,58,155,63,13,25,4,10,1,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,9
Zweitstimme,01W112,01,Mitte,112,W,1F,1,75,O,1151,779,372,0,499,13,493,4,71,74,150,87,28,30,13,5,0,1,0,1,0,7,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,16
Zweitstimme,01W113,01,Mitte,113,W,1I,1,75,O,1456,977,479,0,642,6,641,0,116,97,214,100,25,34,14,5,1,1,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,1,0,0,1,4,0,0,0,1,16
Zweitstimme,01W114,01,Mitte,114,W,1H,1,75,O,1427,957,470,0,547,17,544,3,78,77,181,95,20,34,18,9,2,0,1,0,0,1,0,0,0,0,3,7,0,0,0,1,0,0,1,0,0,1,2,0,0,4,2,7
Zweitstimme,01W115,01,Mitte,115,W,1J,1,75,O,860,634,226,0,360,6,360,0,53,73,72,55,39,26,5,5,0,3,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,2,3,0,3,3,1,9
Zweitstimme,01W116,01,Mitte,116,W,1J,1,75,O,704,478,226,0,286,7,285,1,41,58,76,45,24,22,1,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,8
Zweitstimme,01W117,01,Mitte,117,W,1I,1,75,O,1319,867,452,0,554,26,551,1,71,78,212,98,22,29,10,5,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,3,0,1,1,1,10
Zweitstimme,01W118,01,Mitte,118,W,1K,1,75,O,1323,844,479,0,534,14,530,4,80,86,180,94,10,31,8,4,1,1,0,1,0,2,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,18
Zweitstimme,01W119,01,Mitte,119,W,1L,1,75,O,909,579,330,0,352,15,347,5,45,62,113,63,14,18,3,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,16
Zweitstimme,01W120,01,Mitte,120,W,1K,1,75,O,1011,677,334,0,407,19,401,5,49,55,135,60,36,24,9,6,0,1,0,0,0,3,1,0,0,1,0,4,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,11
