electoral_district_id,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,33796,22555,66.7,22069,20.6,19.8,5.1,17.4,18.1,4.7,14.1
2,33179,24152,72.8,23857,21,18.8,8,19.4,13.7,6.3,12.9
3,34168,23398,68.5,22811,23.1,12.5,10.1,21.2,12.3,5.7,15.2
4,33886,25166,74.3,24860,19.5,9.9,16.8,24.5,9.1,5,15.2
5,33776,24886,73.7,24584,20.1,10.4,15.3,23.1,10.3,5,15.8
6,30758,24915,81,24663,22.4,12.8,17.2,20.2,8.2,5.8,13.4
