electoral_district_id,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,36655,15176,41.4,5807,15.8,657,1.8
2,38818,16569,42.7,5395,13.9,536,1.4
3,35819,14902,41.6,5274,14.7,618,1.7
4,35791,14127,39.5,6064,16.9,654,1.8
5,33286,14523,43.6,4988,15,594,1.8
6,34875,13478,38.6,7135,20.5,991,2.8
7,34848,14310,41.1,5592,16,916,2.6
