electoral_district_id,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,53311,12226,22.9,6.8,41085,2615,6.4,4528,11,25506,62.1,8436,20.5
2,49065,14555,29.7,10.1,34510,2056,6,3649,10.6,22901,66.4,5904,17.1
3,54851,15137,27.6,9,39714,2624,6.6,4403,11.1,26200,66,6487,16.3
4,48022,9860,20.5,6.7,38162,2230,5.8,4720,12.4,23711,62.1,7501,19.7
5,46339,7529,16.2,5.3,38810,2098,5.4,4985,12.8,22449,57.8,9278,23.9
