electoral_district_id,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,53311,12226.0,22.9,6.8,41085.0,2615.0,6.4,4528.0,11.0,25506.0,62.1,8436.0,20.5
2,49065,14555.0,29.7,10.1,34510.0,2056.0,6.0,3649.0,10.6,22901.0,66.4,5904.0,17.1
3,54851,15137.0,27.6,9.0,39714.0,2624.0,6.6,4403.0,11.1,26200.0,66.0,6487.0,16.3
4,48022,9860.0,20.5,6.7,38162.0,2230.0,5.8,4720.0,12.4,23711.0,62.1,7501.0,19.7
5,46339,7529.0,16.2,5.3,38810.0,2098.0,5.4,4985.0,12.8,22449.0,57.8,9278.0,23.9
