electoral_district_id,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,33982,16304.0,48.0,1714.0,5.0,844.0,2.5
2,35278,17231.0,48.8,1582.0,4.5,614.0,1.7
3,37212,17637.0,47.4,3101.0,8.3,829.0,2.2
4,36809,18323.0,49.8,1275.0,3.5,627.0,1.7
5,34825,17464.0,50.1,508.0,1.5,649.0,1.9
6,33205,16402.0,49.4,1589.0,4.8,671.0,2.0
