electoral_district_id,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,47482,13892,29.3,9.3,33590,1888,5.6,3311,9.9,22476,66.9,5915,17.6
2,46979,10883,23.2,6.3,36096,1695,4.7,3487,9.7,21770,60.3,9144,25.3
3,48160,11924,24.8,7.5,36236,2051,5.7,3465,9.6,24477,67.5,6243,17.2
4,52886,16003,30.3,8.7,36883,2057,5.6,3097,8.4,24756,67.1,6973,18.9
5,47726,12144,25.4,7.4,35582,1882,5.3,3349,9.4,21889,61.5,8462,23.8
6,49127,12940,26.3,8.3,36187,1803,5,3212,8.9,23505,65,7667,21.2
7,47045,9202,19.6,6,37843,2022,5.3,3700,9.8,23674,62.6,8447,22.3
