electoral_district_proposal,division_numbers,max_numbers,elected_person
SPD,1.0,18231.0,"Feige, Jutta"
SPD,2.0,9115.5,"Hönicke, Kevin"
SPD,3.0,6077.0,"Kliemann, Sandy"
SPD,4.0,4557.75,"Wolff, Henning"
SPD,5.0,3646.2,"Dr. Ingenbleek, Anja"
SPD,6.0,3038.5,"Einenkel, Kevin"
SPD,7.0,2604.429,"Meyer, Anne"
SPD,8.0,2278.875,"Dr. Gührs, Erik"
SPD,9.0,2025.667,"Reuter, Mélanie"
CDU,1.0,28415.0,"Schaefer, Martin"
CDU,2.0,14207.5,"Hoffmann, Gregor"
CDU,3.0,9471.667,"Usik, Lilia"
CDU,4.0,7103.75,"Hudler, Benjamin"
CDU,5.0,5683.0,"Haustein, Dennis"
CDU,6.0,4735.833,"Moll, Michael"
CDU,7.0,4059.286,"Peters, Carolin"
CDU,8.0,3551.875,"Teichert, Frank"
CDU,9.0,3157.222,"Zoschke, Steffen"
CDU,10.0,2841.5,"Röhr, Sarah"
CDU,11.0,2583.182,"Birkenthal, Lennart"
CDU,12.0,2367.917,"Krüger, Mike"
CDU,13.0,2185.769,"Naschke, Ines"
CDU,14.0,2029.643,"Couque-Castelnovo, Paul"
CDU,15.0,1894.333,"Makoschey, Dennis"
GRÜNE,1.0,14124.0,"Ehlers, Daniela"
GRÜNE,2.0,7062.0,"Ahrens, Philipp"
GRÜNE,3.0,4708.0,"Navarro, Frederike"
GRÜNE,4.0,3531.0,"Pohle, Robert"
GRÜNE,5.0,2824.8,"Heimerl, Alexandra"
GRÜNE,6.0,2354.0,"Davis, Dante"
GRÜNE,7.0,2017.714,"Köhler, Leonie"
DIE LINKE,1.0,27591.0,"Grunst, Michael"
DIE LINKE,2.0,13795.5,"Zimmer, Kerstin"
DIE LINKE,3.0,9197.0,"Schuler, Camilla"
DIE LINKE,4.0,6897.75,"Wolf, Norman"
DIE LINKE,5.0,5518.2,"Klug, Samantha"
DIE LINKE,6.0,4598.5,"Leonhardt, Antonio"
DIE LINKE,7.0,3941.571,"Seidel, Katja"
DIE LINKE,8.0,3448.875,"Petermann, Christian"
DIE LINKE,9.0,3065.667,"Engelmann, Claudia"
DIE LINKE,10.0,2759.1,"Dr. Hempel, Tinko"
DIE LINKE,11.0,2508.273,"Görsdorf, Ingeborg"
DIE LINKE,12.0,2299.25,"Roßmann, Alexander"
DIE LINKE,13.0,2122.385,"Behrend, Tatjana"
DIE LINKE,14.0,1970.786,"Niedworok, Michael"
AfD,1.0,16650.0,"Woldeit, Karsten"
AfD,2.0,8325.0,"Drewes, Dietmar"
AfD,3.0,5550.0,"Dinda, Uwe"
AfD,4.0,4162.5,"Faetke, Sebastian"
AfD,5.0,3330.0,"Starke-Kleese, Gisela"
AfD,6.0,2775.0,"Eisenhardt, Heribert"
AfD,7.0,2378.571,"Celiker, Sükrü"
AfD,8.0,2081.25,"Hennig, Wolfgang"
Tierschutzpartei,1.0,5176.0,"Michel, Katja"
Tierschutzpartei,2.0,2588.0,"Witte, Jennifer"
