electoral_district_id,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,70_and-above,70_and-above_percentage
1,35607,2504.0,7.0,6557.0,18.4,7688.0,21.6,8173.0,23.0,3964.0,11.1,6721.0,18.9
2,35693,3095.0,8.7,6334.0,17.7,6786.0,19.0,8034.0,22.5,4532.0,12.7,6912.0,19.4
3,35338,2738.0,7.7,5299.0,15.0,6362.0,18.0,9267.0,26.2,5382.0,15.2,6290.0,17.8
4,36217,2404.0,6.6,5018.0,13.9,6605.0,18.2,8948.0,24.7,5493.0,15.2,7749.0,21.4
5,29732,1673.0,5.6,3100.0,10.4,4325.0,14.5,7073.0,23.8,5162.0,17.4,8399.0,28.2
6,33923,1899.0,5.6,3202.0,9.4,5090.0,15.0,8655.0,25.5,5361.0,15.8,9716.0,28.6
