electoral_district_id,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,70_and-above,70_and-above_percentage
1,30235,2160,7.1,6739,22.3,6875,22.7,9017,29.8,2871,9.5,2573,8.5
2,32934,2207,6.7,5890,17.9,5789,17.6,7537,22.9,4332,13.2,7179,21.8
3,29962,2876,9.6,5928,19.8,4770,15.9,6856,22.9,4468,14.9,5064,16.9
4,29146,3275,11.2,8520,29.2,5487,18.8,5711,19.6,3372,11.6,2781,9.5
5,27760,2617,9.4,6313,22.7,4233,15.2,5458,19.7,3860,13.9,5279,19
6,26919,3686,13.7,7668,28.5,4870,18.1,5120,19,2769,10.3,2806,10.4
7,28387,3850,13.6,7280,25.6,5401,19,5638,19.9,3102,10.9,3116,11
