electoral_district_id,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,39234,16369,41.7,6969,17.8,695,1.8
2,40003,15951,39.9,7549,18.9,817,2
3,39835,17049,42.8,5926,14.9,1053,2.6
4,35537,17991,50.6,2099,5.9,764,2.1
5,35588,17614,49.5,1929,5.4,694,2
6,34986,17482,50,1561,4.5,767,2.2
