party,name,year_of_birth,profession,direct_mandate_list_mandate,electoral_district
SPD,"Stroedter, Jörg",1954,Mitglied des Abgeordnetenhauses,L,Reinickendorf
SPD,"König, Bettina",1978,Mitglied des Abgeordnetenhauses,L,Reinickendorf
SPD,"Meyer, Sven",1975,Dozent,L,Reinickendorf
CDU,"Schaal, Lucas",1990,Rechtsreferendar,D,Mitte
CDU,"Rissmann, Sven Nico",1978,Rechtsanwalt,D,Mitte
CDU,"Wansner, Kurt",1947,Technischer Angestellter,L,Friedrichshain-Kreuzberg
CDU,"Dr. Husein, Timur",1980,Rechtsanwalt,L,Friedrichshain-Kreuzberg
CDU,"Kraft, Johannes",1977,Geschäftsführer,D,Pankow
CDU,"Bocian, Lars",1969,Geschäftsführer,D,Pankow
CDU,"Stettner, Dirk",1969,Geschäftsführer,D,Pankow
CDU,"Lenz, Stephan",1968,Anwalt,L,Pankow
CDU,"Häntsch, Stefan",1966,Rechtsanwalt,D,Charlottenburg-Wilmersdorf
CDU,"Hack, Ariturel",1989,Büroleiter,D,Charlottenburg-Wilmersdorf
CDU,"Niemczyk, Aldona Maria",1969,Diplom-Sozialpädagogin / Sozialarbeiterin,D,Charlottenburg-Wilmersdorf
CDU,"Khalatbari, Sandra",1971,Schulleiterin,D,Charlottenburg-Wilmersdorf
CDU,"Mock-Stümer, Peer",1967,Diplom-Kaufmann,D,Charlottenburg-Wilmersdorf
CDU,"Bung, Stefanie",1978,Projektmanagerin,D,Charlottenburg-Wilmersdorf
CDU,"Meißner, Bettina",1970,Bankkauffrau,D,Spandau
CDU,"Dr. Nas, Ersin",1978,Rechtsanwalt,D,Spandau
CDU,"Brauner, Kerstin",1976,"Rechtsanwältin und 
Fraktionsgeschäftsführerin",D,Spandau
CDU,"Melzer, Heiko",1976,Mitglied Abgeordnetenhaus von Berlin,D,Spandau
CDU,"Wegner, Kai",1972,Bundestagsabgeordneter,D,Spandau
CDU,"Dr. Wein, Claudia",1958,"Stabstelle der Geschäftsführung 
Gemeinnütziger Krankenhäuser",D,Steglitz-Zehlendorf
CDU,"Cywinski, Tom Jan Filip",1987,"Geschäftsstellenleiter des 
Freundeskreises der Charité",D,Steglitz-Zehlendorf
CDU,"Goiny, Christian",1965,Geschäftsführer,D,Steglitz-Zehlendorf
CDU,"Seibeld, Cornelia 
Simone Michaela",1974,"Mitglied des Abgeordnetenhauses 
und Rechtsanwältin",L,Steglitz-Zehlendorf
CDU,"Friederici, Oliver",1970,"Personalleiter, Mitglied AGH",D,Steglitz-Zehlendorf
CDU,"Grasse, Adrian",1975,"Angestellter Siemens AG, 
Mitglied des Abgeordnetenhauses",D,Steglitz-Zehlendorf
CDU,"Standfuß, Stephan 
Carsten Günter",1972,"Selbstständiger IT-Berater, Mitglied AGH",L,Steglitz-Zehlendorf
CDU,"Luhmann, Frank",1986,Selbstständiger Bestatter,D,Tempelhof-Schöneberg
CDU,"Simon, Roman",1974,"Jurist, Abgeordneter",D,Tempelhof-Schöneberg
CDU,"Körber, Scott",1971,Verwaltungsbeamter,D,Tempelhof-Schöneberg
CDU,"Zander, Christian",1978,Rechtsanwalt,D,Tempelhof-Schöneberg
