age,2023_total,2023_male_diverse,2023_female,2016_total,2016_male_diverse,2016_female,comparison_total,comparison_male_diverse,comparison_female
18 bis unter 21,14.536289016557781,14.1506257591316,14.931075490826306,11.0,9.2,12.7,3.536289016557781,4.950625759131601,2.2310754908263064
21 bis unter 25,20.69246566791259,18.74089421323942,22.607368765399833,14.2,12.8,15.5,6.49246566791259,5.940894213239421,7.107368765399833
25 bis unter 30,24.873509874702805,19.875829754793365,29.43043793620468,17.6,15.4,19.6,7.273509874702803,4.475829754793365,9.830437936204678
30 bis unter 35,28.93906722008975,27.47359191045258,30.52496459556061,17.4,16.2,18.6,11.539067220089752,11.27359191045258,11.92496459556061
35 bis unter 40,29.141558884701592,27.576772926057785,30.665578876486943,15.6,14.9,16.3,13.541558884701592,12.676772926057785,14.365578876486943
40 bis unter 45,25.486951780149823,23.171529976434975,27.9332998361274,14.6,13.6,15.6,10.886951780149824,9.571529976434975,12.3332998361274
45 bis unter 50,26.825044550166353,24.576814524722927,28.92289750536955,18.6,17.3,20.0,8.225044550166352,7.276814524722926,8.922897505369551
50 bis unter 60,32.953175291824365,30.665957788704127,35.11049596353151,23.5,21.8,25.1,9.453175291824365,8.865957788704126,10.010495963531511
60 bis unter 70,35.680337549358136,33.74962645962301,37.525738149081704,28.4,26.8,29.9,7.280337549358137,6.949626459623008,7.625738149081705
70 und älter,38.91302234155341,38.45468666823593,39.21973483486557,30.5,31.0,30.1,8.413022341553408,7.454686668235929,9.119734834865568
Insgesamt,31.732032795232616,29.522379415778698,33.69365144988564,22.4,20.9,23.8,9.332032795232617,8.622379415778699,9.893651449885642
