electoral_district_id,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,33982,16304,48,1714,5,844,2.5
2,35278,17231,48.8,1582,4.5,614,1.7
3,37212,17637,47.4,3101,8.3,829,2.2
4,36809,18323,49.8,1275,3.5,627,1.7
5,34825,17464,50.1,508,1.5,649,1.9
6,33205,16402,49.4,1589,4.8,671,2
