electoral_district_id,below_65,residents_in_sgb_II_communities_of_need,residents_in_sgb_II_communities_of_need_percentage
1,40266,8171.0,20.3
2,39634,9955.0,25.1
3,43945,9218.0,21.0
4,37030,7763.0,21.0
5,33319,5944.0,17.8
