electoral_district_id,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,31417,18762,59.7,18467,20.1,12.7,5.3,18.6,21.7,5.2,16.3
2,33035,21821,66.1,21485,23.1,15.6,5.5,20.9,17.2,4.7,13.1
3,33082,20156,60.9,19821,19.9,13.9,5.4,18.3,20.9,4.9,16.8
4,34811,26510,76.2,26214,17.5,27.5,7.9,18.3,12.5,4.7,11.5
5,33629,28677,85.3,28411,18.8,29,8.9,14.7,11.8,6.4,10.3
6,31267,20741,66.3,20443,19.5,20.9,5.9,17.9,16.6,5,14.2
