age,2023_total,2023_male_diverse,2023_female,2016_total,2016_male_diverse,2016_female,comparison_total,comparison_male_diverse,comparison_female
18 bis unter 21,69.43021893292226,62.120089405604176,76.99567103742922,58.1,55.8,60.3,11.330218932922257,6.320089405604179,16.69567103742922
21 bis unter 25,54.25772340553503,52.594353054416004,55.8830195522525,53.8,52.9,54.8,0.45772340553503454,-0.3056469455839945,1.0830195522525017
25 bis unter 30,54.120659193968585,55.286325713000224,53.07076497342462,60,57.6,62.3,-5.879340806031415,-2.3136742869997775,-9.229235026575374
30 bis unter 35,56.53926208460846,56.527601386299565,56.55114784137064,64.6,62.6,66.7,-8.060737915391535,-6.072398613700436,-10.14885215862936
35 bis unter 40,60.34028385463231,61.278788848121046,59.40213961601717,66.3,64.6,68.1,-5.959716145367686,-3.3212111518789484,-8.697860383982821
40 bis unter 45,67.09886675063309,67.88870796044179,66.28171942381276,70,67.6,72.5,-2.9011332493669073,0.2887079604417977,-6.21828057618724
45 bis unter 50,75.55511122344485,75.3919658257895,75.71626990142035,72.5,71.1,73.9,3.055111223444854,4.291965825789504,1.8162699014203412
50 bis unter 60,71.63058186881248,73.27719032359218,69.99180038988429,71.7,70.6,72.8,-0.06941813118751838,2.6771903235921855,-2.8081996101157074
60 bis unter 70,65.53442623726656,67.03181511435199,64.10834877602319,73.4,73.4,73.4,-7.865573762733447,-6.36818488564802,-9.291651223976814
70 und älter,55.97449514646741,61.65333733628482,52.052276847128375,70.1,74.5,67.1,-14.125504853532583,-12.846662663715179,-15.047723152871619
Insgesamt,62.89880317924023,64.81792844106162,61.15409317017948,68.5,68.1,68.8,-5.6011968207597675,-3.2820715589383695,-7.645906829820518
