electoral_district_proposal,division_numbers,max_numbers,elected_person
SPD,1.0,29615.0,"Böhm, Carolina"
SPD,2.0,14807.5,"Karnetzki, Michael"
SPD,3.0,9871.667,"Macmillan, Carolyn"
SPD,4.0,7403.75,"Buchta, Norbert"
SPD,5.0,5923.0,"Trenczek, Ellinor Friederike"
SPD,6.0,4935.833,"Kromm, Martin"
SPD,7.0,4230.714,"Flores Ramirez, Olemia"
SPD,8.0,3701.875,"Niessen, Alexander"
SPD,9.0,3290.556,"Fabre, Sandrine"
SPD,10.0,2961.5,"Semler, Volker"
SPD,11.0,2692.273,"Kölsch, Juliana"
nan,nan,nan,nan
CDU,1.0,56636.0,"Richter-Kotowski, Cerstin-Ullrike"
CDU,2.0,28318.0,"Rögner-Francke, Horst-René"
CDU,3.0,18878.667,"Dr. Bone-Winkel, Marela"
CDU,4.0,14159.0,"Hippe, Torsten"
CDU,5.0,11327.2,"Kronhagel, Jens Georg Ewald"
CDU,6.0,9439.333,"Dr. Lehmann-Brauns, Sabine Helmtraud"
CDU,7.0,8090.857,"Lücke, Bernhard"
CDU,8.0,7079.5,"Cywinski, Tom Jan Filip"
CDU,9.0,6292.889,"Dr. Wein, Claudia"
CDU,10.0,5663.6,"Voigt, Sebastian"
CDU,11.0,5148.727,"Mc Laughlin, Michael Everett"
CDU,12.0,4719.667,"Richter, Tim"
CDU,13.0,4356.615,"Dr. Escher, Clemens"
CDU,14.0,4045.429,"Schrod, Stefi"
CDU,15.0,3775.733,"Wirrwitz, Karen"
CDU,16.0,3539.75,"Fröhlich, Ralf"
CDU,17.0,3331.529,"Steinhoff, Patrick Hans Willy"
CDU,18.0,3146.444,"Roll, Beate"
CDU,19.0,2980.842,"Heinze, Eleonora"
CDU,20.0,2831.8,"Hahnfeld, Ute"
CDU,21.0,2696.952,"Klein, Dennis"
CDU,22.0,2574.364,"Zwilling, Michael"
nan,nan,nan,nan
GRÜNE,1.0,33946.0,"Schellenberg, Maren"
GRÜNE,2.0,16973.0,"Aykal, Urban"
GRÜNE,3.0,11315.333,"Mertens, Susanne"
GRÜNE,4.0,8486.5,"Steinhoff, Bernhard Georg"
GRÜNE,5.0,6789.2,"Peterson, Rena"
GRÜNE,6.0,5657.667,"Uhde, Lukas"
GRÜNE,7.0,4849.429,"Perna, Mariella Andrea Gabriele"
GRÜNE,8.0,4243.25,"Kräß, Alexander"
GRÜNE,9.0,3771.778,"Kipf, Ulrike Elisabeth"
GRÜNE,10.0,3394.6,"Dr. Kosmas, Konstantinos"
GRÜNE,11.0,3086.0,"Martens, Johanna"
GRÜNE,12.0,2828.833,"Tekemen, Kulhimete Emre"
GRÜNE,13.0,2611.231,"Bayar, Gülşah"
nan,nan,nan,nan
DIE LINKE,1.0,7348.0,"Imhof-Speckmann, Pia"
DIE LINKE,2.0,3674.0,"Egginger-Gonzalez, Dennis"
nan,nan,nan,nan
AfD,1.0,8729.0,"Döhnert, Peer Lars"
AfD,2.0,4364.5,"Graffstädt, Volker"
AfD,3.0,2909.667,"Wolf, Felix"
nan,nan,nan,nan
FDP,1.0,10258.0,"Specht-Habbel, Mathia"
FDP,2.0,5129.0,"Grawert, Sören"
FDP,3.0,3419.333,"Zastrow, Holger"
FDP,4.0,2564.5,"Habbel, Gregor"
