electoral_district_id,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,47482,13892.0,29.3,9.3,33590.0,1888.0,5.6,3311.0,9.9,22476.0,66.9,5915.0,17.6
2,46979,10883.0,23.2,6.3,36096.0,1695.0,4.7,3487.0,9.7,21770.0,60.3,9144.0,25.3
3,48160,11924.0,24.8,7.5,36236.0,2051.0,5.7,3465.0,9.6,24477.0,67.5,6243.0,17.2
4,52886,16003.0,30.3,8.7,36883.0,2057.0,5.6,3097.0,8.4,24756.0,67.1,6973.0,18.9
5,47726,12144.0,25.4,7.4,35582.0,1882.0,5.3,3349.0,9.4,21889.0,61.5,8462.0,23.8
6,49127,12940.0,26.3,8.3,36187.0,1803.0,5.0,3212.0,8.9,23505.0,65.0,7667.0,21.2
7,47045,9202.0,19.6,6.0,37843.0,2022.0,5.3,3700.0,9.8,23674.0,62.6,8447.0,22.3
