electoral_district_id,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,70_and-above,70_and-above_percentage
1,30235,2160.0,7.1,6739.0,22.3,6875.0,22.7,9017.0,29.8,2871.0,9.5,2573.0,8.5
2,32934,2207.0,6.7,5890.0,17.9,5789.0,17.6,7537.0,22.9,4332.0,13.2,7179.0,21.8
3,29962,2876.0,9.6,5928.0,19.8,4770.0,15.9,6856.0,22.9,4468.0,14.9,5064.0,16.9
4,29146,3275.0,11.2,8520.0,29.2,5487.0,18.8,5711.0,19.6,3372.0,11.6,2781.0,9.5
5,27760,2617.0,9.4,6313.0,22.7,4233.0,15.2,5458.0,19.7,3860.0,13.9,5279.0,19.0
6,26919,3686.0,13.7,7668.0,28.5,4870.0,18.1,5120.0,19.0,2769.0,10.3,2806.0,10.4
7,28387,3850.0,13.6,7280.0,25.6,5401.0,19.0,5638.0,19.9,3102.0,10.9,3116.0,11.0
