electoral_district_id,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,39234,16369.0,41.7,6969.0,17.8,695.0,1.8
2,40003,15951.0,39.9,7549.0,18.9,817.0,2.0
3,39835,17049.0,42.8,5926.0,14.9,1053.0,2.6
4,35537,17991.0,50.6,2099.0,5.9,764.0,2.1
5,35588,17614.0,49.5,1929.0,5.4,694.0,2.0
6,34986,17482.0,50.0,1561.0,4.5,767.0,2.2
