electoral_district_id,total,germans_above_16_female,germans_above_16_female_percentage,foreigners_from_eu,foreigners_from_eu_percentage,between_16_and_18,between_16_and_18_percentage
1,37629,18281,48.6,2993,8,760,2
2,33571,15203,45.3,4189,12.5,653,1.9
3,37708,17262,45.8,4321,11.5,776,2.1
4,34592,16739,48.4,2599,7.5,843,2.4
5,34618,17024,49.2,2080,6,859,2.5
