feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,2725844,x,2760397,x,-34553,-1.3
Wählende,1584916,58.1,1721004,62.3,-136088,-4.2
darunter Briefwählende,696371,43.9,494591,28.7,201780,15.2
Abgegebene Stimmen,1584916,x,1721004,x,-136088,x
Ungültige Stimmen,11509,0.7,24085,1.4,-12576,-0.7
Gültige Stimmen,1573407,99.3,1696919,98.6,-123512,0.7
SPD,293567,18.7,397198,23.4,-103631,-4.7
CDU,435305,27.7,316334,18.6,118971,9
GRÜNE,306766,19.5,283661,16.7,23105,2.8
DIE LINKE,198871,12.6,259592,15.3,-60721,-2.7
AfD,142003,9,230923,13.6,-88920,-4.6
FDP,65852,4.2,96015,5.7,-30163,-1.5
Die PARTEI,27848,1.8,26478,1.6,1370,0.2
Tierschutzpartei,46183,2.9,2884,0.2,43299,2.8
PIRATEN,3198,0.2,40745,2.4,-37547,-2.2
NPD,1096,0.1,7414,0.4,-6318,-0.4
LKR,452,0,963,0.1,-511,0
B*,611,0,x,x,611,0
ÖDP,1879,0.1,467,x,1412,0.1
dieBasis,11289,0.7,x,x,11289,0.7
Die Grauen,3624,0.2,x,x,3624,0.2
FREIE WÄHLER,6008,0.4,x,x,6008,0.4
Klimaliste Berlin,7442,0.5,x,x,7442,0.5
LD,77,0,x,x,77,0
MIETERPARTEI,1529,0.1,3137,0.2,-1608,-0.1
Die Humanisten,2457,0.2,x,x,2457,0.2
Volt,14453,0.9,x,x,14453,0.9
WsB Friedrichshain-Kreuzberg,220,0,x,x,220,0
die-waehlbaren.de,47,0,x,x,47,0
olf,143,0,x,x,143,0
BÄRLÄ,152,0,x,x,152,0
WsB Spandau,673,0,x,x,673,0
TKBB,749,0,x,x,749,0
WsB,270,0,x,x,270,0
WisS,336,0,1456,0.1,-1120,-0.1
WsB,307,0,x,x,307,0
Übrige,x,x,29652,1.7,x,x
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
Übrige,nan,nan,nan,nan,nan,nan
