electoral_district_id,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,70_and-above,70_and-above_percentage
1,31632,2344,7.4,7537,23.8,8213,26,7124,22.5,3354,10.6,3060,9.7
2,31707,2785,8.8,8492,26.8,8142,25.7,6317,19.9,3349,10.6,2622,8.3
3,32947,3519,10.7,7622,23.1,6240,18.9,6536,19.8,4105,12.5,4925,14.9
4,32710,2687,8.2,4399,13.4,3729,11.4,6793,20.8,5172,15.8,9930,30.4
5,32985,2644,8,3926,11.9,4124,12.5,8065,24.5,5503,16.7,8723,26.4
6,32670,2800,8.6,3759,11.5,4159,12.7,8238,25.2,5349,16.4,8365,25.6
