age,2023_total,2023_male_diverse,2023_female,2016_total,2016_male_diverse,2016_female,comparison_total,comparison_male_diverse,comparison_female
18 bis unter 21,2.2738895363431957,2.4285272472932693,2.1333057154534765,2.6,2.6,2.5,-0.3261104636568044,-0.1714727527067308,-0.36669428454652353
21 bis unter 25,4.501324713114703,4.671600552580893,4.346523998785129,4.3,4.4,4.2,0.2013247131147029,0.27160055258089244,0.14652399878512856
25 bis unter 30,6.322485841441211,6.291619306249634,6.350547143100413,8.1,8.4,7.9,-1.7775141585587884,-2.108380693750366,-1.5494528568995873
30 bis unter 35,7.881824664423028,8.354890480153587,7.451752339250122,8.4,8.9,7.9,-0.5181753355769727,-0.5451095198464131,-0.4482476607498782
35 bis unter 40,8.823755232784881,9.263021017713479,8.424411100929996,7.7,8.3,7.2,1.1237552327848812,0.9630210177134781,1.2244111009299958
40 bis unter 45,8.108918227172227,8.65890935087882,7.608911772400875,6.4,6.9,6,1.7089182271722265,1.7589093508788203,1.6089117724008748
45 bis unter 50,7.009223204058711,7.314486895244297,6.731702696143119,8,8.7,7.4,-0.9907767959412892,-1.3855131047557023,-0.6682973038568818
50 bis unter 60,16.724904389537677,17.519046093044864,16.00293641470807,18.3,19.1,17.5,-1.5750956104623235,-1.5809539069551377,-1.4970635852919294
60 bis unter 70,15.58697905411859,15.966865129957647,15.241618044076871,14.6,14.4,14.7,0.9869790541185903,1.5668651299576464,0.5416180440768716
70 und älter,22.766695137005797,19.531033926883513,25.708290775151927,21.7,18.5,24.5,1.066695137005798,1.031033926883513,1.2082907751519265
Insgesamt,100.00000000000003,100,99.99999999999999,100,100,100,x,x,x
