electoral_district_id,total,foreigners,foreigners_percentage,foreigners_from_eu_percentage,germans_total,germans_below_6,germans_below_6_percentage,germans_between_6_and_18,germans_between_6_and_18_percentage,germans_between_18_and_70,germans_between_18_and_70_percentage,germans_above_70,germans_above_70_percentage
1,52054,9779,18.8,6.2,42275,2673,6.3,3995,9.5,28886,68.3,6721,15.9
2,50790,8288,16.3,5.7,42502,2622,6.2,4187,9.9,28781,67.7,6912,16.3
3,51402,7964,15.5,4.3,43438,2978,6.9,5122,11.8,29048,66.9,6290,14.5
4,48894,5744,11.7,4.2,43150,2679,6.2,4254,9.9,28468,66,7749,18
5,38218,3484,9.1,2.6,34734,1654,4.8,3348,9.6,21333,61.4,8399,24.2
6,43092,3086,7.2,1.9,40006,2087,5.2,3996,10,24207,60.5,9716,24.3
