electoral_district_id,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,70_and-above,70_and-above_percentage
1,31809,2498,7.9,4790,15.1,4812,15.1,7764,24.4,4843,15.2,7102,22.3
2,30927,2673,8.6,5035,16.3,4463,14.4,7299,23.6,4634,15,6823,22.1
3,33462,2637,7.9,3026,9,4029,12,9076,27.1,5331,15.9,9363,28
4,28905,2117,7.3,3047,10.5,3625,12.5,7105,24.6,4630,16,8381,29
5,29813,2224,7.5,3697,12.4,3925,13.2,7141,24,4579,15.4,8247,27.7
6,31324,2641,8.4,2814,9,3565,11.4,8327,26.6,4822,15.4,9155,29.2
7,29731,2302,7.7,2007,6.8,3200,10.8,7973,26.8,4845,16.3,9404,31.6
