electoral_district_id,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
1,31778,23821,75,23580,16.9,5.6,32.1,26.4,3,2.7,13.2
2,31859,22905,71.9,22683,16.9,5.1,31.9,26.9,3.1,2.5,13.6
3,33071,21044,63.6,20727,25.6,10.5,19.8,19.2,5.9,4,15.1
4,32909,22004,66.9,21453,36.3,23.7,6.1,5.2,10.3,6.4,12
5,33243,24675,74.2,24342,33.1,24.8,9.4,5,9.2,7.3,11.3
6,32755,24489,74.8,24153,34.2,26.7,6.9,4.1,10.5,7.3,10.4
