electoral_district_proposal,division_numbers,max_numbers,elected_person
SPD,1,30302,"Schöttler, Angelika"
SPD,2,15151,"Schworck, Oliver"
SPD,3,10100.667,"Höppner, Marijke"
SPD,4,7575.5,"Seltz, Axel"
SPD,5,6060.4,"Harling, Manuela"
SPD,6,5050.333,"Swobodzinski, Jürgen"
SPD,7,4328.857,"Hantke, Janis"
SPD,8,3787.75,"Rauchfuß, Jan"
SPD,9,3366.889,"Walter, Sarah"
SPD,10,3030.2,"Fey, Oliver"
SPD,11,2754.727,"Hertlein, Annette"
SPD,12,2525.167,"Böltes, Stefan"
,,,
CDU,1,47221,"Steuckardt, Matthias"
CDU,2,23610.5,"Dittmar, Daniel"
CDU,3,15740.333,"Dittmeyer, Petra"
CDU,4,11805.25,"Kliem, Hagen"
CDU,5,9444.2,"Olschewski, Ralf"
CDU,6,7870.167,"Schmidt-Krüger, Britta"
CDU,7,6745.857,"Majewski, Eva"
CDU,8,5902.625,"Liesener, Patrick"
CDU,9,5246.778,"Körper, Regina"
CDU,10,4722.1,"Pschollkowski, Guido"
CDU,11,4292.818,"Schie, Alexander"
CDU,12,3935.083,"Rudschies, Johannes"
CDU,13,3632.385,"Winter, Lisa-Cathrin"
CDU,14,3372.929,"Dr. Buchholz, Carsten"
CDU,15,3148.067,"Sielaff, Harald"
CDU,16,2951.313,"McGee, Denis"
CDU,17,2777.706,"Müller, Kim-Marisa"
CDU,18,2623.389,"Seehofer, Philipp"
CDU,19,2485.316,"Hackenschmied, Klaus"
,,,
GRÜNE,1,36450,"Ellenbeck, Saskia"
GRÜNE,2,18225,"Oltmann, Jörn"
GRÜNE,3,12150,"Zander-Rade, Martina"
GRÜNE,4,9112.5,"Penk, Rainer"
GRÜNE,5,7290,"Bialluch-Liu, Astrid"
GRÜNE,6,6075,"von Boxberg, Bertram"
GRÜNE,7,5207.143,"Wolfsturm, Annabelle"
GRÜNE,8,4556.25,"Feldkamp, Marius"
GRÜNE,9,4050,"Müller-Wenk, Catherine"
GRÜNE,10,3645,"Kühne, Ralf"
GRÜNE,11,3313.636,"Vadood, Yasmin"
GRÜNE,12,3037.5,"Kröger, Mats"
GRÜNE,13,2803.846,"Dr. Urban, Katharina"
GRÜNE,14,2603.571,"Matešković, Dennis"
,,,
DIE LINKE,1,12187,"Wissel, Elisabeth"
DIE LINKE,2,6093.5,"Rutsch, Martin"
DIE LINKE,3,4062.333,"Dr. Scherzinger, Christine"
DIE LINKE,4,3046.75,"Gindra, Harald"
DIE LINKE,5,2437.4,"Marg, Katharina"
,,,
AfD,1,9588,"Franck, Karsten"
AfD,2,4794,"Kasper, Uwe"
AfD,3,3196,"Turban, Karl-Heinz"
,,,
FDP,1,6310,"Frede, Reinhard"
FDP,2,3155,"Kämper, Hartmut"
