feature,2023_total,2023_total_percentage,2016_total,2016_total_percentage,difference,difference_percentage
Wahlberechtigte,211585,x,x,209842,x,x
Wählende,112531,53.2,x,123895,59,x
darunter Briefwählende,46647,41.5,x,29996,24.2,x
Abgegebene Stimmen,112531,x,x,123895,x,x
Mindeststimmen (3%),3376,3,x,3717,3,x
Ungültige Stimmen,1124,1,x,1932,1.6,x
Gültige Stimmen,111407,99,x,121963,98.4,x
SPD,19068,17.1,10,22275,18.3,11
CDU,35011,31.4,19,21007,17.2,11
GRÜNE,6081,5.5,3,5559,4.6,2
DIE LINKE,17575,15.8,9,31759,26,16
AfD,21825,19.6,12,28263,23.2,15
FDP,3174,2.8,0,3096,2.5,x
Die PARTEI,1876,1.7,0,x,x,x
Tierschutzpartei,4860,4.4,2,x,x,x
NPD,430,0.4,0,1932,1.6,x
dieBasis,984,0.9,0,x,x,x
Die Humanisten,523,0.5,0,x,x,x
Übrige,x,x,x,8072,6.6,x
